created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-07-15 00:00:00 UTC,1.15,2.34,3.00,6938.42,-70.90,86.53,35.62,2.34,
2020-07-16 00:00:00 UTC,0.59,1.24,1.56,1721.05,-70.72,86.39,35.64,1.24,
2020-07-17 00:00:00 UTC,0.69,1.42,1.79,3148.83,-68.64,86.00,36.95,1.42,
2020-07-18 00:00:00 UTC,0.74,1.41,1.72,4600.00,-69.48,86.19,36.78,1.41,
2020-07-19 00:00:00 UTC,0.73,1.39,1.83,6040.00,-68.47,85.01,37.74,1.39,
2020-07-20 00:00:00 UTC,0.53,1.07,1.36,7480.00,-68.27,85.87,37.01,1.07,
2020-07-21 00:00:00 UTC,0.11,0.27,0.42,8920.00,-68.49,85.64,38.04,0.27,
2020-07-22 00:00:00 UTC,0.01,0.11,0.27,10360.00,-68.46,85.84,37.36,0.11,
2020-07-23 00:00:00 UTC,0.08,0.37,0.59,11800.00,-68.35,86.80,36.47,0.37,
2020-07-24 00:00:00 UTC,0.44,1.35,2.13,13240.00,-68.16,85.95,35.96,1.35,
2020-07-25 00:00:00 UTC,0.51,1.30,1.99,14680.00,-68.78,85.04,36.66,1.30,
2020-07-26 00:00:00 UTC,0.84,1.81,2.44,16120.00,-67.69,85.88,37.06,1.81,
2020-07-27 00:00:00 UTC,0.42,1.02,1.32,17560.00,-69.28,85.72,37.00,1.02,
2020-07-28 00:00:00 UTC,0.54,1.16,1.44,19000.00,-69.33,85.54,37.00,1.16,
2020-07-29 00:00:00 UTC,0.04,0.11,0.29,20440.00,-66.93,85.11,37.40,0.16,
2020-07-30 00:00:00 UTC,0.57,1.06,1.29,21880.00,-68.25,84.44,37.76,1.06,
2020-07-31 00:00:00 UTC,0.76,1.42,1.72,23320.00,-68.69,84.90,37.69,1.42,
2020-08-01 00:00:00 UTC,0.02,0.27,0.60,24760.00,-67.43,84.79,39.11,0.27,
2020-08-02 00:00:00 UTC,0.08,0.41,0.84,26199.44,-68.02,84.15,38.92,0.41,
2020-08-03 00:00:00 UTC,0.96,2.16,3.01,27640.00,-66.56,85.13,38.05,2.16,
2020-08-04 00:00:00 UTC,0.85,1.93,2.53,29080.00,-64.71,85.55,39.15,1.93,
2020-08-05 00:00:00 UTC,0.78,1.91,2.56,30520.00,-65.46,85.18,38.44,1.91,
2020-08-06 00:00:00 UTC,0.79,1.81,2.41,31960.00,-62.75,84.28,39.78,1.81,
2020-08-07 00:00:00 UTC,0.98,2.08,2.97,33400.00,-63.03,85.05,38.19,2.08,
2020-08-08 00:00:00 UTC,1.98,3.48,4.36,34840.00,-64.25,85.72,37.82,3.48,
2020-08-09 00:00:00 UTC,0.76,1.53,1.91,36279.00,-63.65,85.78,39.70,1.53,
2020-08-10 00:00:00 UTC,1.33,2.38,2.85,37718.00,-63.55,85.63,39.09,2.38,
2020-08-11 00:00:00 UTC,0.47,1.01,1.37,39158.00,-64.10,84.65,40.12,1.01,
2020-08-12 00:00:00 UTC,0.34,0.83,1.05,40598.00,-66.15,85.15,40.48,0.83,
2020-08-13 00:00:00 UTC,1.92,3.71,4.86,42038.00,-65.26,85.83,37.27,3.71,
2020-08-14 00:00:00 UTC,1.09,2.29,2.94,43478.00,-63.08,87.30,34.78,2.29,
2020-08-15 00:00:00 UTC,1.35,2.74,3.46,44916.17,-62.49,87.79,33.43,2.74,
2020-08-16 00:00:00 UTC,1.81,3.35,3.96,46358.00,-63.20,89.96,35.21,3.35,
2020-08-17 00:00:00 UTC,0.40,0.98,1.35,47798.00,-63.12,88.93,37.24,0.98,
2020-08-18 00:00:00 UTC,0.72,1.54,2.05,49235.84,-63.45,88.08,36.29,1.54,
2020-08-19 00:00:00 UTC,4.51,6.48,7.03,50678.00,-64.56,89.14,33.75,6.47,
