created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-09-08 00:00:00 UTC,134.07,214.52,225.68,22.53,-54.31,79.36,14.91,143.66,
2020-09-09 00:00:00 UTC,6.30,11.85,14.31,2.00,-55.00,71.00,22.00,11.85,
2020-09-10 00:00:00 UTC,,,,,,,,,
2020-09-11 00:00:00 UTC,84.49,155.69,172.82,15.44,-67.88,79.80,41.56,103.01,
2020-09-12 00:00:00 UTC,59.10,106.63,116.97,496.45,-64.86,79.00,40.62,72.35,
2020-09-13 00:00:00 UTC,22.89,41.53,45.22,262.23,-75.63,78.11,42.04,35.65,
2020-09-14 00:00:00 UTC,32.78,64.55,75.46,468.99,-69.03,78.09,40.75,47.25,
2020-09-15 00:00:00 UTC,16.89,30.71,33.86,253.67,-66.47,79.19,40.26,27.15,
2020-09-16 00:00:00 UTC,0.55,1.06,1.25,951.00,-68.45,81.02,43.10,1.06,
2020-09-17 00:00:00 UTC,0.45,0.79,0.93,2391.00,-67.70,80.73,44.00,0.79,
2020-09-18 00:00:00 UTC,2.42,4.06,4.52,3831.00,-67.11,79.68,44.60,4.06,
2020-09-19 00:00:00 UTC,3.08,5.23,5.97,5271.00,-72.15,79.75,43.91,5.23,
2020-09-20 00:00:00 UTC,3.06,5.62,6.69,6711.00,-70.52,79.20,42.16,5.62,
2020-09-21 00:00:00 UTC,9.11,14.62,16.02,8151.78,-68.57,79.00,41.57,14.54,
2020-09-22 00:00:00 UTC,1.51,2.98,3.66,9591.00,-67.27,78.42,42.75,2.98,
2020-09-23 00:00:00 UTC,1.02,1.95,2.43,11031.00,-69.02,78.86,41.71,1.95,
2020-09-24 00:00:00 UTC,0.40,0.83,1.01,12471.00,-68.98,79.82,44.11,0.83,
2020-09-25 00:00:00 UTC,2.28,5.27,6.98,13911.00,-71.44,79.35,41.54,5.27,
2020-09-26 00:00:00 UTC,4.62,7.66,8.99,15351.49,-69.38,78.06,41.28,7.07,
2020-09-27 00:00:00 UTC,3.64,6.28,7.39,16791.00,-68.69,79.20,38.99,6.28,
2020-09-28 00:00:00 UTC,20.27,29.38,30.82,18231.00,-67.89,83.16,31.33,27.16,
2020-09-29 00:00:00 UTC,1.19,1.80,1.94,19671.00,-67.22,80.40,38.03,1.80,
2020-09-30 00:00:00 UTC,5.63,8.27,8.71,21111.00,-65.47,78.37,42.25,8.27
