created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-09-08 00:00:00 UTC,65.02,104.88,113.67,21.67,-40.89,76.11,15.56,70.46,
2020-09-09 00:00:00 UTC,8.76,16.50,19.69,1.00,-50.00,70.00,23.00,16.50,
2020-09-10 00:00:00 UTC,,,,,,,,,
2020-09-11 00:00:00 UTC,127.43,278.09,323.88,14.18,-74.00,74.53,46.24,184.65,
2020-09-12 00:00:00 UTC,96.90,203.98,242.25,757.97,-77.11,65.52,63.10,173.99,
2020-09-13 00:00:00 UTC,75.96,157.32,187.34,2190.52,-79.76,63.54,65.05,104.15,
2020-09-14 00:00:00 UTC,78.04,168.21,208.09,3631.10,-78.34,65.40,59.50,119.45,
2020-09-15 00:00:00 UTC,35.09,74.68,89.89,5072.91,-77.36,66.92,62.30,51.62,
2020-09-16 00:00:00 UTC,2.23,3.05,3.47,6512.93,-74.64,71.14,64.89,3.21,
2020-09-17 00:00:00 UTC,0.58,1.53,1.79,7952.00,-77.31,69.44,66.00,1.53,
2020-09-18 00:00:00 UTC,3.17,7.00,8.00,9392.74,-77.22,69.08,65.87,7.00,
2020-09-19 00:00:00 UTC,4.24,8.65,10.06,10830.78,-79.53,69.35,63.99,8.65,
2020-09-20 00:00:00 UTC,4.05,8.55,10.34,12265.44,-78.89,68.16,63.18,8.55,
2020-09-21 00:00:00 UTC,12.16,21.41,24.09,11884.53,-79.64,66.51,64.71,20.68,
2020-09-22 00:00:00 UTC,2.67,5.74,6.98,841.00,-77.59,66.67,65.10,5.74,
2020-09-23 00:00:00 UTC,1.67,3.48,4.27,2274.82,-78.52,66.26,62.09,3.48,
2020-09-24 00:00:00 UTC,0.83,2.08,2.54,3723.00,-75.66,68.66,67.44,2.08,
2020-09-25 00:00:00 UTC,3.20,7.74,10.13,5158.47,-76.94,66.77,63.61,7.74,
2020-09-26 00:00:00 UTC,2.90,6.64,8.47,6604.72,-76.58,67.58,61.08,6.64,
2020-09-27 00:00:00 UTC,5.15,9.39,11.00,8030.90,-79.36,72.27,51.15,9.24,
2020-09-28 00:00:00 UTC,24.17,34.87,37.16,9488.10,-81.10,77.89,34.23,29.87,
2020-09-29 00:00:00 UTC,2.39,4.07,4.42,10921.84,-79.88,65.21,66.86,4.07,
2020-09-30 00:00:00 UTC,11.34,20.76,22.74,12362.00,-79.55,66.88,65.53,19.67
