created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-08-26 00:00:00 UTC,79.67,124.43,131.93,14.55,-47.83,80.21,27.72,85.63,
2020-08-27 00:00:00 UTC,287.94,454.41,479.50,24.08,-46.92,89.08,20.68,303.37,
2020-08-28 00:00:00 UTC,0.56,1.77,2.34,4.00,-41.33,84.00,24.67,1.77,
2020-08-29 00:00:00 UTC,,,,,,,,,
2020-08-30 00:00:00 UTC,,,,,,,,,
2020-08-31 00:00:00 UTC,3.14,5.59,6.91,30.41,-63.45,80.33,39.22,5.59,
2020-09-01 00:00:00 UTC,5.49,9.18,10.64,260.93,-58.77,82.29,37.40,8.51,
2020-09-02 00:00:00 UTC,1.40,2.86,3.81,1093.00,-61.87,84.66,41.65,2.86,
2020-09-03 00:00:00 UTC,3.49,6.26,7.51,2533.00,-62.28,83.75,36.86,6.26,
2020-09-04 00:00:00 UTC,1.85,3.52,4.20,3973.00,-60.23,85.00,35.78,3.52,
2020-09-05 00:00:00 UTC,1.90,3.57,4.37,5413.00,-63.48,86.05,34.35,3.57,
2020-09-06 00:00:00 UTC,4.20,7.17,8.26,6853.35,-66.76,92.20,32.24,7.16,
2020-09-07 00:00:00 UTC,2.80,5.02,5.97,8293.01,-65.07,95.98,30.98,5.02,
2020-09-08 00:00:00 UTC,2.25,4.52,5.93,1082.01,-62.20,87.82,30.92,4.52,
2020-09-09 00:00:00 UTC,2.94,4.79,5.34,729.85,-58.47,83.74,35.61,4.79,
2020-09-10 00:00:00 UTC,7.34,13.31,15.15,354.90,-64.68,87.44,33.69,13.13,
2020-09-11 00:00:00 UTC,10.69,19.68,22.22,919.92,-57.46,87.37,34.95,19.67,
2020-09-12 00:00:00 UTC,,,,,,,,,
2020-09-13 00:00:00 UTC,,,,,,,,,
2020-09-14 00:00:00 UTC,,,,,,,,,
2020-09-15 00:00:00 UTC,,,,,,,,,
2020-09-16 00:00:00 UTC,,,,,,,,,
2020-09-17 00:00:00 UTC,,,,,,,,,
2020-09-18 00:00:00 UTC,,,,,,,,,
2020-09-19 00:00:00 UTC,,,,,,,,,
2020-09-20 00:00:00 UTC,,,,,,,,,
2020-09-21 00:00:00 UTC,,,,,,,,,
2020-09-22 00:00:00 UTC,,,,,,,,,
2020-09-23 00:00:00 UTC,,,,,,,,,
2020-09-24 00:00:00 UTC,,,,,,,,,
2020-09-25 00:00:00 UTC,,,,,,,,,
2020-09-26 00:00:00 UTC,,,,,,,,,
2020-09-27 00:00:00 UTC,,,,,,,,,
2020-09-28 00:00:00 UTC,,,,,,,,,
2020-09-29 00:00:00 UTC,,,,,,,,,
2020-09-30 00:00:00 UTC,,,,,,,,
