created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-07-27 00:00:00 UTC,35.48,51.37,52.63,40.09,-51.33,90.19,24.71,37.08,
2020-07-28 00:00:00 UTC,1.70,2.57,2.74,822.90,-49.31,89.29,24.69,2.57,
2020-07-29 00:00:00 UTC,1.14,1.75,1.92,1864.23,-49.37,88.40,25.19,1.75,
2020-07-30 00:00:00 UTC,35.91,49.11,49.75,33.18,-49.40,91.58,22.84,34.44,
2020-07-31 00:00:00 UTC,1.55,2.50,2.57,7.00,-55.00,87.00,26.00,2.50,
2020-08-01 00:00:00 UTC,,,,,,,,,
2020-08-02 00:00:00 UTC,,,,,,,,,
2020-08-03 00:00:00 UTC,,,,,,,,,
2020-08-04 00:00:00 UTC,,,,,,,,,
2020-08-05 00:00:00 UTC,,,,,,,,,
2020-08-06 00:00:00 UTC,,,,,,,,,
2020-08-07 00:00:00 UTC,,,,,,,,,
2020-08-08 00:00:00 UTC,,,,,,,,,
2020-08-09 00:00:00 UTC,,,,,,,,,
2020-08-10 00:00:00 UTC,,,,,,,,,
2020-08-11 00:00:00 UTC,,,,,,,,,
2020-08-12 00:00:00 UTC,,,,,,,,,
2020-08-13 00:00:00 UTC,,,,,,,,,
2020-08-14 00:00:00 UTC,,,,,,,,,
2020-08-15 00:00:00 UTC,,,,,,,,,
2020-08-16 00:00:00 UTC,,,,,,,,,
2020-08-17 00:00:00 UTC,,,,,,,,,
2020-08-18 00:00:00 UTC,,,,,,,,,
2020-08-19 00:00:00 UTC,,,,,,,,,
2020-08-20 00:00:00 UTC,,,,,,,,,
2020-08-21 00:00:00 UTC,,,,,,,,,
2020-08-22 00:00:00 UTC,,,,,,,,,
2020-08-23 00:00:00 UTC,,,,,,,,,
2020-08-24 00:00:00 UTC,,,,,,,,,
2020-08-25 00:00:00 UTC,,,,,,,,,
2020-08-26 00:00:00 UTC,,,,,,,,,
2020-08-27 00:00:00 UTC,,,,,,,,,
2020-08-28 00:00:00 UTC,,,,,,,,,
2020-08-29 00:00:00 UTC,,,,,,,,,
2020-08-30 00:00:00 UTC,,,,,,,,,
2020-08-31 00:00:00 UTC,6.81,10.91,11.66,21.58,-64.18,70.00,54.15,10.91,
2020-09-01 00:00:00 UTC,17.47,29.68,31.83,768.00,-59.28,63.97,66.84,26.20,
2020-09-02 00:00:00 UTC,7.13,11.75,12.82,2208.00,-61.71,67.20,60.88,12.62,
2020-09-03 00:00:00 UTC,19.42,33.12,36.38,3648.00,-60.36,65.79,64.57,25.81,
2020-09-04 00:00:00 UTC,17.07,29.99,32.35,5088.00,-60.70,65.97,65.15,26.19,
2020-09-05 00:00:00 UTC,19.64,30.97,32.74,6528.00,-60.45,73.31,51.49,27.37,
2020-09-06 00:00:00 UTC,41.20,64.32,66.81,7968.00,-60.77,85.56,33.98,47.91,
2020-09-07 00:00:00 UTC,19.58,31.05,32.59,9408.00,-61.69,82.47,37.58,28.77,
2020-09-08 00:00:00 UTC,8.20,13.52,14.75,10848.00,-58.99,67.83,63.05,13.49,
2020-09-09 00:00:00 UTC,20.91,33.55,35.59,12288.26,-58.85,63.63,74.85,28.07,
2020-09-10 00:00:00 UTC,101.07,201.51,225.96,13729.00,-59.57,66.12,68.14,133.60,
2020-09-11 00:00:00 UTC,123.68,262.78,301.03,15128.00,-59.78,66.40,65.40,174.72,
2020-09-12 00:00:00 UTC,,,,,,,,,
2020-09-13 00:00:00 UTC,,,,,,,,,
2020-09-14 00:00:00 UTC,,,,,,,,,
2020-09-15 00:00:00 UTC,,,,,,,,,
2020-09-16 00:00:00 UTC,,,,,,,,,
2020-09-17 00:00:00 UTC,,,,,,,,,
2020-09-18 00:00:00 UTC,,,,,,,,,
2020-09-19 00:00:00 UTC,,,,,,,,,
2020-09-20 00:00:00 UTC,,,,,,,,,
2020-09-21 00:00:00 UTC,,,,,,,,,
2020-09-22 00:00:00 UTC,,,,,,,,,
2020-09-23 00:00:00 UTC,,,,,,,,,
2020-09-24 00:00:00 UTC,,,,,,,,,
2020-09-25 00:00:00 UTC,,,,,,,,,
2020-09-26 00:00:00 UTC,,,,,,,,,
2020-09-27 00:00:00 UTC,,,,,,,,,
2020-09-28 00:00:00 UTC,,,,,,,,,
2020-09-29 00:00:00 UTC,,,,,,,,,
2020-09-30 00:00:00 UTC,,,,,,,,
