created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-07-15 00:00:00 UTC,,,,,,,,,
2020-07-16 00:00:00 UTC,,,,,,,,,
2020-07-17 00:00:00 UTC,,,,,,,,,
2020-07-18 00:00:00 UTC,,,,,,,,,
2020-07-19 00:00:00 UTC,,,,,,,,,
2020-07-20 00:00:00 UTC,,,,,,,,,
2020-07-21 00:00:00 UTC,,,,,,,,,
2020-07-22 00:00:00 UTC,,,,,,,,,
2020-07-23 00:00:00 UTC,,,,,,,,,
2020-07-24 00:00:00 UTC,,,,,,,,,
2020-07-25 00:00:00 UTC,,,,,,,,,
2020-07-26 00:00:00 UTC,,,,,,,,,
2020-07-27 00:00:00 UTC,,,,,,,,,
2020-07-28 00:00:00 UTC,,,,,,,,,
2020-07-29 00:00:00 UTC,,,,,,,,,
2020-07-30 00:00:00 UTC,,,,,,,,,
2020-07-31 00:00:00 UTC,,,,,,,,,
2020-08-01 00:00:00 UTC,,,,,,,,,
2020-08-02 00:00:00 UTC,,,,,,,,,
2020-08-03 00:00:00 UTC,,,,,,,,,
2020-08-04 00:00:00 UTC,,,,,,,,,
2020-08-05 00:00:00 UTC,,,,,,,,,
2020-08-06 00:00:00 UTC,,,,,,,,,
2020-08-07 00:00:00 UTC,,,,,,,,,
2020-08-08 00:00:00 UTC,,,,,,,,,
2020-08-09 00:00:00 UTC,,,,,,,,,
2020-08-10 00:00:00 UTC,,,,,,,,,
2020-08-11 00:00:00 UTC,,,,,,,,,
2020-08-12 00:00:00 UTC,,,,,,,,,
2020-08-13 00:00:00 UTC,,,,,,,,,
2020-08-14 00:00:00 UTC,,,,,,,,,
2020-08-15 00:00:00 UTC,,,,,,,,,
2020-08-16 00:00:00 UTC,,,,,,,,,
2020-08-17 00:00:00 UTC,,,,,,,,,
2020-08-18 00:00:00 UTC,,,,,,,,,
2020-08-19 00:00:00 UTC,1.97,3.64,4.98,593.11,-68.02,80.67,42.65,3.64,
2020-08-20 00:00:00 UTC,1.70,2.88,3.64,1907.00,-67.80,80.18,41.28,2.88,
2020-08-21 00:00:00 UTC,2.64,4.23,5.26,3347.00,-67.36,80.49,44.10,4.23,
2020-08-22 00:00:00 UTC,1.78,2.96,3.62,4787.00,-66.92,81.32,43.67,2.96,
2020-08-23 00:00:00 UTC,3.54,6.56,8.86,6227.00,-66.27,80.00,42.90,6.40,
2020-08-24 00:00:00 UTC,2.54,4.18,4.99,2127.11,-66.82,77.99,43.85,4.18,
2020-08-25 00:00:00 UTC,3.60,6.12,7.79,1815.00,-67.73,78.88,44.33,6.10,
2020-08-26 00:00:00 UTC,1.90,3.34,4.27,3255.00,-66.61,78.33,43.94,3.34,
2020-08-27 00:00:00 UTC,0.54,1.08,1.78,4695.00,-66.53,76.15,44.10,1.07,
2020-08-28 00:00:00 UTC,4.53,7.37,9.12,6135.00,-66.78,75.99,44.87,7.28,
2020-08-29 00:00:00 UTC,1.67,2.83,3.51,7575.00,-69.12,76.04,45.47,2.83,
2020-08-30 00:00:00 UTC,1.37,2.34,3.01,9015.00,-70.04,75.95,45.95,2.34,
2020-08-31 00:00:00 UTC,2.65,4.37,5.29,10455.00,-72.52,74.74,47.43,4.37,
2020-09-01 00:00:00 UTC,2.05,3.43,4.34,11895.00,-80.20,74.98,48.00,3.43,
2020-09-02 00:00:00 UTC,0.63,1.12,1.68,13335.00,-80.83,75.29,47.48,1.12,
2020-09-03 00:00:00 UTC,1.79,3.13,4.07,14775.35,-67.82,76.94,46.35,3.13,
2020-09-04 00:00:00 UTC,1.47,2.61,3.30,16215.00,-66.48,76.97,45.77,2.61,
2020-09-05 00:00:00 UTC,1.07,1.93,2.64,17655.00,-66.43,77.84,45.26,1.93,
2020-09-06 00:00:00 UTC,3.42,5.49,6.59,19095.00,-65.79,81.50,46.44,5.49,
2020-09-07 00:00:00 UTC,2.31,3.95,4.94,20534.26,-66.55,84.45,42.69,3.95,
2020-09-08 00:00:00 UTC,1.66,3.24,4.48,21975.00,-66.66,81.41,41.08,3.24,
2020-09-09 00:00:00 UTC,3.19,5.24,6.25,23415.22,-67.23,79.23,44.86,5.24,
2020-09-10 00:00:00 UTC,14.86,25.42,32.28,24855.00,-67.08,77.99,46.31,23.56,
2020-09-11 00:00:00 UTC,21.09,36.47,46.34,26295.00,-66.83,77.48,45.00,32.97,
2020-09-12 00:00:00 UTC,15.34,26.35,33.53,27737.70,-66.75,77.80,45.68,25.35,
2020-09-13 00:00:00 UTC,13.54,23.85,31.41,29175.00,-68.33,77.65,45.36,23.44,
2020-09-14 00:00:00 UTC,15.86,30.68,43.36,30612.59,-67.44,78.18,42.93,29.61,
2020-09-15 00:00:00 UTC,8.44,15.42,20.88,32055.00,-65.66,78.17,45.15,15.05,
2020-09-16 00:00:00 UTC,1.94,3.32,4.48,33495.00,-70.49,80.15,48.24,3.32,
2020-09-17 00:00:00 UTC,1.33,2.23,2.80,34935.00,-70.15,81.55,47.01,2.23,
2020-09-18 00:00:00 UTC,4.04,6.90,8.80,36375.00,-71.41,80.18,47.08,6.90,
2020-09-19 00:00:00 UTC,6.55,10.98,14.29,37815.74,-71.67,79.81,47.28,10.80,
2020-09-20 00:00:00 UTC,4.04,7.68,10.93,39255.00,-69.37,79.77,45.65,7.68,
2020-09-21 00:00:00 UTC,10.49,17.36,22.68,40695.44,-68.22,80.08,44.46,17.22,
2020-09-22 00:00:00 UTC,0.94,1.74,2.54,42135.97,-69.31,80.29,44.64,1.74,
2020-09-23 00:00:00 UTC,0.39,0.72,1.16,43575.00,-68.15,79.72,43.62,0.72,
2020-09-24 00:00:00 UTC,0.27,0.44,0.78,45015.00,-68.98,80.12,46.86,0.44,
2020-09-25 00:00:00 UTC,3.11,7.26,12.24,46455.00,-69.14,79.71,44.09,7.26,
2020-09-26 00:00:00 UTC,2.53,5.59,8.92,47895.00,-69.39,79.35,43.56,5.59,
2020-09-27 00:00:00 UTC,4.92,8.85,12.47,49335.00,-69.47,80.45,42.16,8.85,
