created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-07-15 00:00:00 UTC,,,,,,,,,
2020-07-16 00:00:00 UTC,,,,,,,,,
2020-07-17 00:00:00 UTC,,,,,,,,,
2020-07-18 00:00:00 UTC,,,,,,,,,
2020-07-19 00:00:00 UTC,,,,,,,,,
2020-07-20 00:00:00 UTC,,,,,,,,,
2020-07-21 00:00:00 UTC,,,,,,,,,
2020-07-22 00:00:00 UTC,,,,,,,,,
2020-07-23 00:00:00 UTC,,,,,,,,,
2020-07-24 00:00:00 UTC,,,,,,,,,
2020-07-25 00:00:00 UTC,,,,,,,,,
2020-07-26 00:00:00 UTC,,,,,,,,,
2020-07-27 00:00:00 UTC,,,,,,,,,
2020-07-28 00:00:00 UTC,,,,,,,,,
2020-07-29 00:00:00 UTC,,,,,,,,,
2020-07-30 00:00:00 UTC,,,,,,,,,
2020-07-31 00:00:00 UTC,,,,,,,,,
2020-08-01 00:00:00 UTC,,,,,,,,,
2020-08-02 00:00:00 UTC,,,,,,,,,
2020-08-03 00:00:00 UTC,,,,,,,,,
2020-08-04 00:00:00 UTC,,,,,,,,,
2020-08-05 00:00:00 UTC,,,,,,,,,
2020-08-06 00:00:00 UTC,,,,,,,,,
2020-08-07 00:00:00 UTC,,,,,,,,,
2020-08-08 00:00:00 UTC,,,,,,,,,
2020-08-09 00:00:00 UTC,,,,,,,,,
2020-08-10 00:00:00 UTC,,,,,,,,,
2020-08-11 00:00:00 UTC,,,,,,,,,
2020-08-12 00:00:00 UTC,,,,,,,,,
2020-08-13 00:00:00 UTC,,,,,,,,,
2020-08-14 00:00:00 UTC,,,,,,,,,
2020-08-15 00:00:00 UTC,,,,,,,,,
2020-08-16 00:00:00 UTC,,,,,,,,,
2020-08-17 00:00:00 UTC,,,,,,,,,
2020-08-18 00:00:00 UTC,,,,,,,,,
2020-08-19 00:00:00 UTC,,,,,,,,,
2020-08-20 00:00:00 UTC,,,,,,,,,
2020-08-21 00:00:00 UTC,,,,,,,,,
2020-08-22 00:00:00 UTC,9.61,14.58,17.42,166.00,-71.78,81.61,46.96,13.35,
2020-08-23 00:00:00 UTC,3.07,5.24,6.59,1051.00,-70.60,81.97,40.82,5.23,
2020-08-24 00:00:00 UTC,2.68,4.19,5.06,883.43,-67.52,80.72,42.20,4.00,
2020-08-25 00:00:00 UTC,2.37,3.89,4.64,1815.00,-67.87,80.34,42.33,3.89,
2020-08-26 00:00:00 UTC,7.29,11.01,13.10,3255.00,-67.96,79.92,42.63,8.66,
2020-08-27 00:00:00 UTC,5.37,8.29,10.13,4695.00,-68.37,77.89,42.37,7.62,
2020-08-28 00:00:00 UTC,7.59,11.69,13.84,6135.00,-68.53,79.32,40.76,10.85,
2020-08-29 00:00:00 UTC,2.77,4.56,5.66,7575.00,-66.81,78.02,42.42,4.56,
2020-08-30 00:00:00 UTC,0.23,0.67,0.83,9015.00,-67.86,76.94,41.31,0.65,
2020-08-31 00:00:00 UTC,8.49,13.07,15.52,10421.00,-65.77,77.49,41.91,12.71,
2020-09-01 00:00:00 UTC,6.29,9.77,11.50,661.00,-67.32,78.08,42.07,9.77,
2020-09-02 00:00:00 UTC,8.80,13.15,15.00,2041.00,-65.67,78.80,42.10,9.93,
2020-09-03 00:00:00 UTC,5.71,8.79,10.57,3481.00,-67.04,82.46,41.01,8.74,
2020-09-04 00:00:00 UTC,2.47,4.09,4.96,4921.00,-65.87,80.97,41.81,4.09,
2020-09-05 00:00:00 UTC,4.16,6.23,7.37,6361.00,-67.09,82.53,40.27,6.11,
2020-09-06 00:00:00 UTC,7.77,11.38,12.85,7801.00,-66.85,86.88,40.80,11.35,
2020-09-07 00:00:00 UTC,7.54,11.29,13.11,9241.00,-67.40,90.48,36.89,11.29,
2020-09-08 00:00:00 UTC,3.04,5.14,6.52,10681.00,-67.14,84.31,36.02,5.14,
2020-09-09 00:00:00 UTC,7.30,11.02,12.95,12121.00,-67.24,81.59,39.50,10.27,
2020-09-10 00:00:00 UTC,25.04,39.54,46.75,13561.00,-66.38,79.78,42.56,30.60,
2020-09-11 00:00:00 UTC,24.47,38.73,46.01,15000.09,-66.03,79.59,44.24,31.75,
2020-09-12 00:00:00 UTC,20.26,31.93,37.57,16441.94,-66.97,81.24,43.55,26.03,
2020-09-13 00:00:00 UTC,17.52,27.79,33.53,17881.00,-65.71,81.18,43.69,25.45,
2020-09-14 00:00:00 UTC,15.71,26.79,34.59,19321.00,-65.57,80.08,42.91,23.56,
2020-09-15 00:00:00 UTC,21.04,34.21,42.94,20761.00,-67.18,81.41,41.65,29.99,
2020-09-16 00:00:00 UTC,1.38,2.27,2.81,22201.00,-67.62,83.18,43.48,2.27,
2020-09-17 00:00:00 UTC,0.91,1.53,1.84,23641.00,-67.95,84.09,42.53,1.53,
2020-09-18 00:00:00 UTC,4.95,7.91,9.57,25081.00,-68.49,82.33,42.72,7.91,
2020-09-19 00:00:00 UTC,13.11,18.57,21.29,26521.00,-68.10,82.67,42.98,13.80,
2020-09-20 00:00:00 UTC,1.48,2.74,3.49,27961.00,-67.86,82.66,43.13,2.74,
2020-09-21 00:00:00 UTC,19.29,27.96,31.05,29401.00,-68.57,82.53,42.74,20.21,
2020-09-22 00:00:00 UTC,5.54,8.44,10.25,30841.00,-69.89,82.42,42.23,7.93,
2020-09-23 00:00:00 UTC,2.25,3.91,4.97,32281.00,-67.53,80.67,41.38,3.91,
2020-09-24 00:00:00 UTC,3.27,4.90,5.82,33721.00,-68.15,81.90,43.16,4.86,
2020-09-25 00:00:00 UTC,2.13,4.19,5.91,35161.00,-69.17,81.57,41.79,4.19,
2020-09-26 00:00:00 UTC,1.29,2.59,3.64,36601.00,-67.46,80.78,42.38,2.59,
2020-09-27 00:00:00 UTC,1.56,2.53,3.15,38041.00,-67.40,82.77,41.87,2.53,
2020-09-28 00:00:00 UTC,5.50,7.72,8.46,39481.00,-69.77,87.28,38.80,7.72,
2020-09-29 00:00:00 UTC,1.14,1.75,1.95,40921.00,-67.57,84.19,37.75,1.75,
