created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-09-02 00:00:00 UTC,48.40,70.72,77.64,22.39,-44.24,83.28,21.24,50.17,
2020-09-03 00:00:00 UTC,5.59,10.58,13.12,4.00,-48.00,79.67,25.00,10.58,
2020-09-04 00:00:00 UTC,,,,,,,,,
2020-09-05 00:00:00 UTC,,,,,,,,,
2020-09-06 00:00:00 UTC,,,,,,,,,
2020-09-07 00:00:00 UTC,,,,,,,,,
2020-09-08 00:00:00 UTC,5.08,7.72,8.86,43.44,-73.02,83.18,33.59,7.72,
2020-09-09 00:00:00 UTC,7.10,11.00,12.67,309.15,-63.13,82.59,35.92,11.00,
2020-09-10 00:00:00 UTC,8.88,15.20,18.34,156.24,-73.66,84.15,36.55,14.63,
2020-09-11 00:00:00 UTC,17.04,29.50,35.80,189.59,-69.20,83.03,36.10,27.06,
2020-09-12 00:00:00 UTC,20.41,35.47,42.91,231.76,-59.11,80.33,35.14,29.14,
2020-09-13 00:00:00 UTC,6.23,11.50,14.80,200.48,-66.61,81.39,38.35,11.32,
2020-09-14 00:00:00 UTC,5.40,10.51,14.08,185.43,-69.71,82.92,35.90,10.44,
2020-09-15 00:00:00 UTC,1.30,2.80,3.74,271.37,-65.38,85.06,37.26,2.80,
2020-09-16 00:00:00 UTC,0.81,1.87,2.57,374.06,-74.44,83.82,38.38,1.87,
2020-09-17 00:00:00 UTC,0.28,0.70,1.06,516.49,-73.62,85.52,36.69,0.70,
2020-09-18 00:00:00 UTC,3.09,5.67,6.85,189.00,-74.41,85.37,36.74,5.67,
2020-09-19 00:00:00 UTC,,,,,,,,,
2020-09-20 00:00:00 UTC,,,,,,,,,
2020-09-21 00:00:00 UTC,6.56,10.20,12.33,570.00,-63.38,81.49,40.87,10.07,
2020-09-22 00:00:00 UTC,5.37,9.89,14.06,1192.00,-63.30,79.40,42.28,9.89,
2020-09-23 00:00:00 UTC,,,,,,,,,
2020-09-24 00:00:00 UTC,,,,,,,,,
2020-09-25 00:00:00 UTC,,,,,,,,,
2020-09-26 00:00:00 UTC,,,,,,,,,
2020-09-27 00:00:00 UTC,,,,,,,,,
2020-09-28 00:00:00 UTC,2.66,4.35,5.14,176.84,-73.91,87.59,35.42,4.16,
2020-09-29 00:00:00 UTC,,,,,,,,,
2020-09-30 00:00:00 UTC,,,,,,,,
