created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-07-15 00:00:00 UTC,2.09,3.91,4.39,43575.42,-58.01,82.06,39.90,3.91,
2020-07-16 00:00:00 UTC,2.04,3.62,3.96,45015.13,-59.20,81.06,39.74,3.58,
2020-07-17 00:00:00 UTC,4.16,7.02,7.73,46443.06,-55.35,81.14,40.70,6.14,
2020-07-18 00:00:00 UTC,2.55,4.27,4.63,47894.00,-58.02,81.89,40.19,4.27,
2020-07-19 00:00:00 UTC,2.43,3.88,4.15,49334.00,-56.45,81.48,40.26,3.88,
2020-07-20 00:00:00 UTC,1.66,2.88,3.10,50773.55,-54.21,80.89,40.49,2.88,
2020-07-21 00:00:00 UTC,1.14,1.82,1.95,52214.25,-54.18,80.87,41.05,1.82,
2020-07-22 00:00:00 UTC,4.14,6.97,7.78,53654.00,-55.38,79.49,42.52,5.42,
2020-07-23 00:00:00 UTC,1.30,2.40,2.69,55094.00,-57.02,79.99,40.82,2.40,
2020-07-24 00:00:00 UTC,2.51,4.90,5.71,56534.00,-55.79,80.33,39.97,4.90,
2020-07-25 00:00:00 UTC,2.86,5.56,6.44,57974.00,-58.05,81.16,39.96,5.56,
2020-07-26 00:00:00 UTC,2.99,5.72,6.55,59414.00,-57.09,81.04,40.61,5.72,
2020-07-27 00:00:00 UTC,2.29,4.13,4.57,60854.00,-55.45,79.95,41.06,4.13,
2020-07-28 00:00:00 UTC,5.10,8.78,9.76,38964.34,-57.89,79.76,41.69,7.74,
2020-07-29 00:00:00 UTC,2.11,3.52,3.86,1239.00,-63.99,81.29,42.38,3.52,
2020-07-30 00:00:00 UTC,1.95,3.19,3.47,2679.15,-61.85,82.29,43.67,3.19,
2020-07-31 00:00:00 UTC,2.52,4.22,4.63,4119.00,-63.18,81.09,42.34,4.22,
2020-08-01 00:00:00 UTC,1.22,2.19,2.56,5559.00,-63.16,81.04,41.38,2.19,
2020-08-02 00:00:00 UTC,1.75,2.93,3.29,6999.00,-64.52,81.19,40.98,2.93,
2020-08-03 00:00:00 UTC,2.51,5.05,5.97,8439.00,-66.58,80.92,40.43,5.05,
2020-08-04 00:00:00 UTC,2.83,5.23,5.88,9879.00,-66.16,82.87,39.70,5.23,
2020-08-05 00:00:00 UTC,3.30,6.58,7.63,11319.00,-64.47,80.66,41.37,6.58,
2020-08-06 00:00:00 UTC,3.00,5.73,6.56,12759.00,-61.15,80.58,41.11,5.73,
2020-08-07 00:00:00 UTC,3.01,6.01,7.07,14199.00,-63.03,81.14,40.54,6.01,
2020-08-08 00:00:00 UTC,3.95,7.29,8.25,15639.00,-62.32,82.61,40.48,7.29,
2020-08-09 00:00:00 UTC,3.29,5.81,6.42,17079.00,-61.04,83.35,40.02,5.81,
2020-08-10 00:00:00 UTC,2.82,4.98,5.51,18519.00,-61.84,82.49,40.55,4.98,
2020-08-11 00:00:00 UTC,2.18,3.82,4.30,19959.00,-61.18,82.26,41.74,3.82,
2020-08-12 00:00:00 UTC,5.02,8.83,9.79,21399.00,-62.85,82.52,41.55,7.35,
2020-08-13 00:00:00 UTC,4.08,7.96,9.21,22839.00,-62.59,81.33,41.21,7.84,
2020-08-14 00:00:00 UTC,3.17,6.22,7.06,24279.00,-63.54,87.21,38.71,6.17,
2020-08-15 00:00:00 UTC,3.30,7.01,8.02,25719.00,-62.82,90.12,31.19,7.01,
2020-08-16 00:00:00 UTC,5.57,11.06,12.43,27159.00,-63.20,89.92,35.54,11.06,
2020-08-17 00:00:00 UTC,1.96,3.90,4.52,28599.00,-61.90,85.49,38.84,3.90,
2020-08-18 00:00:00 UTC,3.14,6.27,7.42,30037.39,-61.02,84.78,38.81,6.09,
2020-08-19 00:00:00 UTC,4.13,7.47,8.21,31479.00,-61.77,88.20,37.26,7.45,
2020-08-20 00:00:00 UTC,10.24,16.93,17.97,32918.12,-61.38,85.88,37.82,15.44,
2020-08-21 00:00:00 UTC,7.26,12.41,13.33,34359.00,-61.53,86.06,40.18,12.22,
2020-08-22 00:00:00 UTC,17.84,29.14,31.02,35799.00,-60.93,84.36,41.41,25.41,
