created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-09-18 00:00:00 UTC,141.85,225.34,240.12,15.57,-26.86,80.43,18.00,151.26,
2020-09-19 00:00:00 UTC,,,,,,,,,
2020-09-20 00:00:00 UTC,,,,,,,,,
2020-09-21 00:00:00 UTC,85.17,129.71,136.83,26.58,-50.87,83.16,18.23,89.16,
2020-09-22 00:00:00 UTC,3.32,6.19,7.26,7.00,-57.83,81.33,24.67,6.19,
2020-09-23 00:00:00 UTC,,,,,,,,,
2020-09-24 00:00:00 UTC,,,,,,,,,
2020-09-25 00:00:00 UTC,,,,,,,,,
2020-09-26 00:00:00 UTC,2.94,6.54,8.68,719.00,-61.23,80.07,37.47,6.54,
2020-09-27 00:00:00 UTC,4.04,7.78,9.66,2153.00,-59.92,82.71,34.98,7.78,
2020-09-28 00:00:00 UTC,15.08,23.75,25.66,3593.00,-59.21,88.28,26.51,22.38,
2020-09-29 00:00:00 UTC,2.19,3.70,4.15,5033.00,-60.97,80.56,37.41,3.70,
2020-09-30 00:00:00 UTC,5.33,8.85,9.58,6473.00,-61.33,79.00,42.58,8.83
