created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-07-21 00:00:00 UTC,36.62,53.55,56.57,68.37,-49.21,90.16,20.08,39.38,
2020-07-22 00:00:00 UTC,4.12,6.10,6.53,626.00,-48.56,90.72,20.07,6.10,
2020-07-23 00:00:00 UTC,46.01,61.25,62.87,49.20,-51.35,90.15,23.05,42.70,
2020-07-24 00:00:00 UTC,0.66,1.48,1.54,4.00,-70.00,81.00,29.00,1.48,
2020-07-25 00:00:00 UTC,,,,,,,,,
2020-07-26 00:00:00 UTC,,,,,,,,,
2020-07-27 00:00:00 UTC,,,,,,,,,
2020-07-28 00:00:00 UTC,,,,,,,,,
2020-07-29 00:00:00 UTC,,,,,,,,,
2020-07-30 00:00:00 UTC,,,,,,,,,
2020-07-31 00:00:00 UTC,,,,,,,,,
2020-08-01 00:00:00 UTC,,,,,,,,,
2020-08-02 00:00:00 UTC,,,,,,,,,
2020-08-03 00:00:00 UTC,,,,,,,,,
2020-08-04 00:00:00 UTC,,,,,,,,,
2020-08-05 00:00:00 UTC,,,,,,,,,
2020-08-06 00:00:00 UTC,,,,,,,,,
2020-08-07 00:00:00 UTC,,,,,,,,,
2020-08-08 00:00:00 UTC,,,,,,,,,
2020-08-09 00:00:00 UTC,,,,,,,,,
2020-08-10 00:00:00 UTC,,,,,,,,,
2020-08-11 00:00:00 UTC,,,,,,,,,
2020-08-12 00:00:00 UTC,,,,,,,,,
2020-08-13 00:00:00 UTC,,,,,,,,,
2020-08-14 00:00:00 UTC,,,,,,,,,
2020-08-15 00:00:00 UTC,,,,,,,,,
2020-08-16 00:00:00 UTC,,,,,,,,,
2020-08-17 00:00:00 UTC,,,,,,,,,
2020-08-18 00:00:00 UTC,,,,,,,,,
2020-08-19 00:00:00 UTC,,,,,,,,,
2020-08-20 00:00:00 UTC,,,,,,,,,
2020-08-21 00:00:00 UTC,,,,,,,,,
2020-08-22 00:00:00 UTC,2.95,6.38,9.26,11.46,-71.00,73.35,51.00,3.24,
2020-08-23 00:00:00 UTC,8.65,18.11,22.94,750.00,-80.06,65.20,64.89,8.49,
2020-08-24 00:00:00 UTC,9.88,19.53,21.70,810.34,-79.71,64.28,65.96,19.00,
2020-08-25 00:00:00 UTC,13.68,25.05,29.80,1814.00,-80.36,64.71,69.64,19.66,
2020-08-26 00:00:00 UTC,7.25,14.42,17.31,3253.15,-84.84,61.60,71.21,16.44,
2020-08-27 00:00:00 UTC,4.33,8.63,11.21,4692.14,-82.66,61.04,70.02,11.51,
2020-08-28 00:00:00 UTC,34.29,60.71,71.28,6133.64,-83.11,61.25,70.33,50.08,
2020-08-29 00:00:00 UTC,14.04,25.95,29.90,7574.51,-81.40,61.88,71.12,22.53,
2020-08-30 00:00:00 UTC,6.31,11.46,13.22,5301.46,-80.32,62.81,69.01,11.02,
2020-08-31 00:00:00 UTC,27.65,50.92,59.35,1089.00,-79.80,63.10,69.44,38.56,
2020-09-01 00:00:00 UTC,17.76,32.46,37.41,2529.00,-80.50,64.38,66.70,28.02,
2020-09-02 00:00:00 UTC,6.86,12.56,15.49,3968.62,-81.03,66.64,62.08,12.56,
2020-09-03 00:00:00 UTC,15.77,28.79,33.87,5409.00,-81.47,64.14,68.12,23.24,
2020-09-04 00:00:00 UTC,13.80,26.85,31.05,6849.00,-81.64,65.00,66.99,25.29,
2020-09-05 00:00:00 UTC,18.71,31.79,36.12,8289.00,-79.84,72.25,53.67,17.57,
2020-09-06 00:00:00 UTC,40.40,67.63,73.92,9728.00,-76.65,83.72,36.01,39.57,
2020-09-07 00:00:00 UTC,18.92,33.41,37.93,11167.00,-75.60,80.54,38.74,30.89,
2020-09-08 00:00:00 UTC,7.94,14.76,18.26,12607.00,-74.84,67.38,63.03,14.73,
2020-09-09 00:00:00 UTC,20.24,35.20,40.08,14047.00,-73.86,63.71,73.93,29.08,
2020-09-10 00:00:00 UTC,96.84,207.80,244.06,15487.00,-73.79,65.55,68.86,122.05,
