created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-09-21 00:00:00 UTC,129.21,189.88,200.35,30.90,-23.92,76.60,26.02,129.63,
2020-09-22 00:00:00 UTC,71.37,105.89,112.59,28.38,-53.69,81.67,22.18,73.09,
2020-09-23 00:00:00 UTC,,,,,,,,,
2020-09-24 00:00:00 UTC,,,,,,,,,
2020-09-25 00:00:00 UTC,,,,,,,,,
2020-09-26 00:00:00 UTC,,,,,,,,,
2020-09-27 00:00:00 UTC,,,,,,,,,
2020-09-28 00:00:00 UTC,,,,,,,,,
2020-09-29 00:00:00 UTC,,,,,,,,,
2020-09-30 00:00:00 UTC,,,,,,,,
