created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-07-15 00:00:00 UTC,,,,,,,,,
2020-07-16 00:00:00 UTC,,,,,,,,,
2020-07-17 00:00:00 UTC,,,,,,,,,
2020-07-18 00:00:00 UTC,,,,,,,,,
2020-07-19 00:00:00 UTC,,,,,,,,,
2020-07-20 00:00:00 UTC,,,,,,,,,
2020-07-21 00:00:00 UTC,,,,,,,,,
2020-07-22 00:00:00 UTC,,,,,,,,,
2020-07-23 00:00:00 UTC,,,,,,,,,
2020-07-24 00:00:00 UTC,,,,,,,,,
2020-07-25 00:00:00 UTC,,,,,,,,,
2020-07-26 00:00:00 UTC,,,,,,,,,
2020-07-27 00:00:00 UTC,,,,,,,,,
2020-07-28 00:00:00 UTC,,,,,,,,,
2020-07-29 00:00:00 UTC,,,,,,,,,
2020-07-30 00:00:00 UTC,,,,,,,,,
2020-07-31 00:00:00 UTC,,,,,,,,,
2020-08-01 00:00:00 UTC,,,,,,,,,
2020-08-02 00:00:00 UTC,,,,,,,,,
2020-08-03 00:00:00 UTC,,,,,,,,,
2020-08-04 00:00:00 UTC,,,,,,,,,
2020-08-05 00:00:00 UTC,,,,,,,,,
2020-08-06 00:00:00 UTC,,,,,,,,,
2020-08-07 00:00:00 UTC,,,,,,,,,
2020-08-08 00:00:00 UTC,,,,,,,,,
2020-08-09 00:00:00 UTC,,,,,,,,,
2020-08-10 00:00:00 UTC,,,,,,,,,
2020-08-11 00:00:00 UTC,,,,,,,,,
2020-08-12 00:00:00 UTC,,,,,,,,,
2020-08-13 00:00:00 UTC,,,,,,,,,
2020-08-14 00:00:00 UTC,,,,,,,,,
2020-08-15 00:00:00 UTC,,,,,,,,,
2020-08-16 00:00:00 UTC,,,,,,,,,
2020-08-17 00:00:00 UTC,,,,,,,,,
2020-08-18 00:00:00 UTC,,,,,,,,,
2020-08-19 00:00:00 UTC,,,,,,,,,
2020-08-20 00:00:00 UTC,,,,,,,,,
2020-08-21 00:00:00 UTC,,,,,,,,,
2020-08-22 00:00:00 UTC,29.32,47.98,52.83,5.00,-45.00,77.00,50.50,39.92,
2020-08-23 00:00:00 UTC,12.81,23.25,25.44,11.00,-67.91,70.55,54.55,23.25,
2020-08-24 00:00:00 UTC,27.77,47.89,52.31,461.42,-68.99,68.98,59.53,25.49,
2020-08-25 00:00:00 UTC,22.57,39.50,47.07,1812.00,-68.66,66.63,65.31,33.42,
2020-08-26 00:00:00 UTC,7.17,13.22,16.00,3252.46,-71.04,63.51,67.38,13.07,
2020-08-27 00:00:00 UTC,3.83,7.72,10.48,4693.00,-71.93,62.36,66.84,7.72,
2020-08-28 00:00:00 UTC,39.40,67.12,78.31,1629.97,-70.66,63.06,66.46,50.91,
2020-08-29 00:00:00 UTC,18.43,32.27,36.81,1754.00,-71.06,63.30,67.60,27.31,
2020-08-30 00:00:00 UTC,12.78,22.30,26.05,3194.00,-70.92,63.44,67.27,19.39,
2020-08-31 00:00:00 UTC,27.98,48.83,56.52,4634.00,-69.83,63.87,67.10,37.54,
2020-09-01 00:00:00 UTC,20.54,35.84,41.59,6074.00,-68.76,64.94,65.60,30.34,
2020-09-02 00:00:00 UTC,7.00,12.62,15.94,7514.00,-69.40,66.90,61.51,12.41,
2020-09-03 00:00:00 UTC,17.61,31.32,37.41,8954.00,-68.76,65.57,65.12,25.05,
2020-09-04 00:00:00 UTC,14.96,26.86,30.88,10394.00,-69.25,65.85,64.85,19.07,
2020-09-05 00:00:00 UTC,24.07,39.54,44.66,11834.00,-69.04,72.22,51.89,34.81,
2020-09-06 00:00:00 UTC,49.58,78.42,84.59,13274.00,-71.91,85.10,30.48,57.09,
2020-09-07 00:00:00 UTC,31.08,49.06,53.21,14714.00,-69.48,86.79,26.84,39.79,
2020-09-08 00:00:00 UTC,9.95,17.29,20.95,16154.00,-68.63,72.01,51.87,16.75,
2020-09-09 00:00:00 UTC,24.25,39.89,44.02,17594.00,-69.21,66.46,66.59,33.48,
2020-09-10 00:00:00 UTC,103.13,197.23,227.02,19034.00,-69.35,66.51,66.12,121.55,
2020-09-11 00:00:00 UTC,161.09,332.01,389.59,20474.00,-70.81,67.02,62.89,220.60,
2020-09-12 00:00:00 UTC,101.73,198.67,227.19,21914.00,-69.92,67.89,60.73,131.71,
2020-09-13 00:00:00 UTC,72.56,144.30,172.16,23354.00,-66.57,65.02,63.71,104.57,
2020-09-14 00:00:00 UTC,73.10,160.51,214.61,24794.00,-67.19,65.32,62.21,106.27,
2020-09-15 00:00:00 UTC,30.20,62.55,77.72,26235.00,-68.45,67.65,63.71,44.99,
2020-09-16 00:00:00 UTC,1.02,2.06,2.55,27674.00,-68.97,71.15,67.54,2.17,
2020-09-17 00:00:00 UTC,0.78,1.64,1.97,29114.00,-68.25,70.18,67.38,1.64,
2020-09-18 00:00:00 UTC,3.57,6.99,8.32,30554.00,-68.50,69.09,67.76,6.99,
2020-09-19 00:00:00 UTC,5.39,9.67,12.05,31994.00,-68.58,69.75,65.24,9.63,
2020-09-20 00:00:00 UTC,6.71,12.11,14.98,33434.00,-69.50,70.86,59.36,12.11,
2020-09-21 00:00:00 UTC,15.72,27.19,31.14,34873.67,-68.80,68.17,60.81,24.99,
2020-09-22 00:00:00 UTC,2.18,4.96,7.40,36314.00,-69.58,66.68,66.95,4.96,
2020-09-23 00:00:00 UTC,1.24,2.76,4.20,37754.68,-66.88,67.12,61.09,2.97,
2020-09-24 00:00:00 UTC,0.79,1.79,2.44,39194.00,-67.11,69.06,69.13,1.79,
2020-09-25 00:00:00 UTC,2.36,6.87,12.03,40633.09,-67.49,67.38,63.40,6.86,
2020-09-26 00:00:00 UTC,2.42,5.80,9.17,42074.00,-67.48,69.37,58.52,5.79,
2020-09-27 00:00:00 UTC,4.13,7.48,9.99,43513.40,-67.11,74.73,50.41,7.47,
2020-09-28 00:00:00 UTC,20.86,29.86,32.34,44954.00,-68.65,81.13,28.85,27.14,
2020-09-29 00:00:00 UTC,3.30,5.27,6.01,16502.12,-68.34,67.76,62.11,5.27,
