created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-08-31 00:00:00 UTC,62.13,100.33,106.91,29.95,-58.67,79.96,15.24,67.94,
2020-09-01 00:00:00 UTC,3.00,5.20,6.03,3.00,-46.50,77.50,19.50,5.20,
2020-09-02 00:00:00 UTC,,,,,,,,,
2020-09-03 00:00:00 UTC,,,,,,,,,
2020-09-04 00:00:00 UTC,,,,,,,,,
2020-09-05 00:00:00 UTC,8.52,13.69,14.79,573.00,-63.47,84.25,38.45,12.89,
2020-09-06 00:00:00 UTC,16.88,27.19,29.02,1859.00,-59.46,92.62,34.64,22.68,
2020-09-07 00:00:00 UTC,10.20,16.18,17.31,3299.00,-57.89,96.72,30.31,15.14,
2020-09-08 00:00:00 UTC,4.75,8.10,9.22,4739.00,-57.14,87.94,32.07,8.08,
2020-09-09 00:00:00 UTC,6.30,9.41,9.90,6179.00,-57.84,83.40,36.95,9.41,
2020-09-10 00:00:00 UTC,16.48,28.23,30.30,3944.05,-64.76,80.51,39.45,23.37,
2020-09-11 00:00:00 UTC,18.90,34.77,37.67,773.80,-66.09,80.04,41.97,25.49,
2020-09-12 00:00:00 UTC,35.23,64.55,69.41,614.25,-57.47,87.01,39.33,46.04,
2020-09-13 00:00:00 UTC,26.14,47.98,51.90,2027.00,-57.47,87.98,39.11,35.91,
2020-09-14 00:00:00 UTC,21.84,43.98,50.31,3467.00,-56.93,86.06,39.60,34.65,
2020-09-15 00:00:00 UTC,12.66,24.02,26.42,4907.00,-59.50,87.69,39.08,21.88,
2020-09-16 00:00:00 UTC,1.00,1.87,2.09,6347.00,-59.86,87.65,38.79,1.76,
2020-09-17 00:00:00 UTC,0.40,0.75,0.88,7787.00,-58.60,87.72,37.07,0.75,
2020-09-18 00:00:00 UTC,4.74,9.22,10.37,9227.00,-57.14,85.82,38.33,7.70,
2020-09-19 00:00:00 UTC,4.95,9.17,10.31,10666.22,-57.54,86.64,37.37,7.76,
2020-09-20 00:00:00 UTC,3.24,6.04,7.20,12107.00,-57.85,86.92,35.22,5.96,
2020-09-21 00:00:00 UTC,8.66,14.53,15.97,13547.00,-55.77,87.71,35.76,12.73,
2020-09-22 00:00:00 UTC,1.63,3.31,4.04,14987.00,-56.69,85.32,35.83,3.09,
2020-09-23 00:00:00 UTC,1.35,2.77,3.37,16427.05,-57.13,84.05,35.10,2.39,
2020-09-24 00:00:00 UTC,2.27,4.57,5.29,17867.00,-59.08,85.82,38.37,3.50,
2020-09-25 00:00:00 UTC,6.35,14.33,17.43,19307.00,-59.17,83.78,36.42,11.03,
2020-09-26 00:00:00 UTC,4.47,9.62,11.86,20747.00,-57.10,85.06,34.79,7.94,
2020-09-27 00:00:00 UTC,23.93,39.98,43.53,22187.00,-59.23,86.83,33.81,28.65,
2020-09-28 00:00:00 UTC,19.59,28.06,29.23,23627.00,-62.93,93.27,27.13,24.05,
2020-09-29 00:00:00 UTC,1.29,2.02,2.22,25067.00,-61.79,84.27,35.54,2.00,
2020-09-30 00:00:00 UTC,5.74,8.86,9.37,26507.00,-60.73,81.54,40.84,8.81
