created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-07-15 00:00:00 UTC,2.25,4.65,6.64,35347.00,-71.62,76.18,46.72,4.65,
2020-07-16 00:00:00 UTC,1.84,3.51,4.46,36787.00,-71.37,76.39,46.52,3.51,
2020-07-17 00:00:00 UTC,2.61,4.82,6.17,37940.02,-66.06,76.55,46.99,4.82,
2020-07-18 00:00:00 UTC,,,,,,,,,
2020-07-19 00:00:00 UTC,1.93,3.32,3.92,661.00,-70.29,78.11,46.64,3.32,
2020-07-20 00:00:00 UTC,1.19,2.26,2.71,2041.00,-70.69,77.77,45.14,2.26,
2020-07-21 00:00:00 UTC,0.27,0.65,0.82,3481.00,-68.73,77.26,44.61,0.65,
2020-07-22 00:00:00 UTC,0.20,0.55,0.77,4921.00,-68.02,77.48,45.70,0.55,
2020-07-23 00:00:00 UTC,0.48,1.12,1.46,6361.17,-72.28,77.64,45.32,1.12,
2020-07-24 00:00:00 UTC,1.43,3.16,4.61,7801.00,-63.12,77.89,44.56,3.16,
2020-07-25 00:00:00 UTC,1.90,3.76,5.19,9241.00,-60.22,78.96,43.74,3.75,
2020-07-26 00:00:00 UTC,2.28,4.38,5.87,10681.00,-65.93,79.71,44.44,4.38,
2020-07-27 00:00:00 UTC,1.62,3.10,3.85,4009.54,-70.04,79.08,43.86,3.10,
2020-07-28 00:00:00 UTC,1.46,2.86,3.54,1689.00,-70.46,77.96,43.93,2.86,
2020-07-29 00:00:00 UTC,0.62,1.26,1.53,3129.00,-70.20,77.73,44.54,1.26,
2020-07-30 00:00:00 UTC,1.69,3.10,3.75,4569.00,-65.16,77.60,45.25,3.10,
2020-07-31 00:00:00 UTC,2.27,4.02,4.95,6009.00,-66.59,77.39,45.63,4.02,
2020-08-01 00:00:00 UTC,0.49,1.32,2.04,7449.00,-71.13,77.61,46.22,1.32,
2020-08-02 00:00:00 UTC,0.51,1.27,1.89,8889.00,-65.84,77.75,46.59,1.27,
2020-08-03 00:00:00 UTC,1.70,3.55,4.91,10329.00,-66.32,77.97,45.68,3.55,
2020-08-04 00:00:00 UTC,2.17,4.28,5.70,11769.00,-70.07,78.55,46.37,4.28,
2020-08-05 00:00:00 UTC,2.85,5.88,8.27,13209.00,-65.44,77.22,47.09,5.88,
2020-08-06 00:00:00 UTC,2.12,4.25,5.77,14649.00,-61.70,77.37,46.43,4.25,
2020-08-07 00:00:00 UTC,2.18,4.53,6.56,16089.00,-66.25,78.00,46.40,4.53,
2020-08-08 00:00:00 UTC,3.78,6.92,9.12,17529.00,-70.17,78.73,46.12,6.88,
2020-08-09 00:00:00 UTC,4.67,7.84,9.78,18969.00,-74.13,79.96,46.33,7.72,
2020-08-10 00:00:00 UTC,2.68,4.92,6.12,20409.00,-69.17,79.85,46.21,4.92,
2020-08-11 00:00:00 UTC,1.70,3.32,4.44,21849.00,-68.64,81.02,46.71,3.32,
2020-08-12 00:00:00 UTC,2.00,3.72,4.61,23289.00,-69.44,81.45,46.18,3.72,
2020-08-13 00:00:00 UTC,3.75,6.96,9.21,24729.00,-66.75,80.85,44.96,6.96,
2020-08-14 00:00:00 UTC,3.87,7.44,10.14,26169.00,-69.22,82.85,45.59,7.38,
2020-08-15 00:00:00 UTC,4.01,7.50,9.88,27609.00,-71.47,85.18,43.39,7.44,
2020-08-16 00:00:00 UTC,6.97,12.37,16.07,29049.00,-67.54,86.60,43.04,12.24,
2020-08-17 00:00:00 UTC,1.06,2.36,3.25,30489.00,-67.41,85.82,43.20,2.36,
2020-08-18 00:00:00 UTC,1.56,3.46,5.08,31926.29,-69.26,84.42,41.14,3.43,
2020-08-19 00:00:00 UTC,6.65,11.18,14.25,33369.00,-67.72,84.33,40.96,11.15,
2020-08-20 00:00:00 UTC,2.96,5.12,6.40,34809.00,-65.25,83.61,42.98,5.12,
2020-08-21 00:00:00 UTC,4.69,7.81,9.70,36249.00,-66.81,83.18,44.44,7.77,
2020-08-22 00:00:00 UTC,7.34,11.93,14.62,37689.00,-65.19,83.74,46.36,11.76,
2020-08-23 00:00:00 UTC,5.21,9.98,13.73,39129.00,-65.30,82.44,48.58,9.93,
2020-08-24 00:00:00 UTC,8.59,14.68,18.17,10087.03,-66.33,82.69,46.43,14.20,
2020-08-25 00:00:00 UTC,6.18,10.79,13.68,1813.00,-67.59,82.48,46.77,10.72,
2020-08-26 00:00:00 UTC,3.76,8.76,8.60,3253.00,-66.57,81.99,45.36,6.85,
