created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-07-15 00:00:00 UTC,3.36,5.42,6.24,35349.00,-79.21,81.58,35.97,5.42,
2020-07-16 00:00:00 UTC,3.01,4.59,5.06,36789.00,-79.00,80.66,36.08,4.59,
2020-07-17 00:00:00 UTC,3.65,5.39,5.94,38218.51,-79.11,81.63,36.00,5.39,
2020-07-18 00:00:00 UTC,4.25,6.21,6.64,39669.00,-78.98,82.36,35.35,5.81,
2020-07-19 00:00:00 UTC,8.26,12.26,13.08,41107.82,-77.21,81.77,36.66,10.54,
2020-07-20 00:00:00 UTC,0.92,1.41,1.55,42549.00,-67.83,79.95,36.75,1.41,
2020-07-21 00:00:00 UTC,0.25,0.42,0.47,43989.16,-67.23,78.89,36.78,0.42,
2020-07-22 00:00:00 UTC,2.96,4.91,5.59,45428.15,-70.23,79.61,38.13,3.86,
2020-07-23 00:00:00 UTC,0.58,1.00,1.17,46868.00,-69.71,78.82,38.80,1.00,
2020-07-24 00:00:00 UTC,2.04,3.59,4.43,48307.00,-65.73,78.03,39.17,3.59,
2020-07-25 00:00:00 UTC,2.37,4.06,5.02,49747.00,-68.34,78.90,38.01,4.06,
2020-07-26 00:00:00 UTC,6.00,9.17,10.31,51187.00,-70.63,79.20,39.06,9.16,
2020-07-27 00:00:00 UTC,14.65,22.95,25.39,16875.11,-75.05,79.54,39.23,17.91,
2020-07-28 00:00:00 UTC,9.55,14.89,16.23,1689.00,-77.24,79.19,39.23,12.49,
2020-07-29 00:00:00 UTC,4.51,6.29,6.69,3129.00,-77.12,79.07,38.46,6.29,
2020-07-30 00:00:00 UTC,21.55,33.51,36.23,4569.00,-76.97,80.26,37.48,25.02,
2020-07-31 00:00:00 UTC,8.40,12.69,13.73,6009.00,-78.85,80.05,37.79,11.13,
2020-08-01 00:00:00 UTC,4.41,7.15,8.09,7449.00,-76.72,79.82,38.45,7.00,
2020-08-02 00:00:00 UTC,1.00,1.69,2.08,8887.33,-72.13,79.78,38.61,1.69,
2020-08-03 00:00:00 UTC,2.23,3.76,4.52,10329.00,-66.68,80.44,38.24,3.76,
2020-08-04 00:00:00 UTC,16.74,26.60,29.31,11769.00,-70.78,80.27,39.37,20.87,
2020-08-05 00:00:00 UTC,6.02,9.91,11.39,13209.00,-65.30,78.69,39.63,9.90,
2020-08-06 00:00:00 UTC,9.95,15.75,17.35,14649.00,-61.15,79.97,38.65,13.37,
2020-08-07 00:00:00 UTC,4.86,7.94,9.14,16089.00,-67.51,80.47,38.36,7.84,
2020-08-08 00:00:00 UTC,7.51,11.75,13.14,17529.00,-70.61,80.57,38.75,11.13,
2020-08-09 00:00:00 UTC,4.97,7.36,8.14,18969.00,-70.30,80.25,39.50,7.35,
2020-08-10 00:00:00 UTC,23.45,36.52,40.11,20409.00,-65.70,79.24,40.09,27.75,
2020-08-11 00:00:00 UTC,7.53,11.48,12.55,21849.00,-66.87,80.49,39.47,10.74,
2020-08-12 00:00:00 UTC,5.40,8.32,9.11,23289.00,-70.92,80.28,40.34,8.07,
2020-08-13 00:00:00 UTC,4.09,6.39,7.30,24729.00,-65.70,80.11,39.46,6.39,
2020-08-14 00:00:00 UTC,7.12,11.99,13.74,26169.00,-68.02,84.41,36.57,11.47,
2020-08-15 00:00:00 UTC,5.38,9.00,10.40,27609.00,-72.16,89.82,29.88,9.00,
2020-08-16 00:00:00 UTC,8.62,13.84,15.46,29049.00,-68.19,89.96,32.77,13.84,
2020-08-17 00:00:00 UTC,1.74,2.95,3.59,30489.00,-74.88,86.06,35.48,2.95,
2020-08-18 00:00:00 UTC,1.64,3.23,4.23,31327.00,-80.21,85.34,34.91,3.23,
2020-08-19 00:00:00 UTC,11.78,17.27,18.53,223.00,-80.42,84.30,35.08,16.71,
2020-08-20 00:00:00 UTC,1.64,2.42,2.69,1165.00,-70.21,83.04,35.89,2.42,
2020-08-21 00:00:00 UTC,2.87,4.28,4.69,2605.00,-68.67,83.29,36.45,4.28,
2020-08-22 00:00:00 UTC,8.26,11.71,12.47,4045.00,-68.13,84.00,37.01,11.71,
2020-08-23 00:00:00 UTC,5.23,8.43,9.57,5483.12,-76.23,82.55,37.81,8.41,
2020-08-24 00:00:00 UTC,2.08,3.25,3.65,1956.40,-70.41,81.93,38.31,3.25,
2020-08-25 00:00:00 UTC,21.87,26.39,40.37,1813.00,-71.08,81.82,39.24,26.45,
2020-08-26 00:00:00 UTC,4.83,8.46,8.08,3253.00,-69.86,80.62,39.64,7.37,
2020-08-27 00:00:00 UTC,7.07,11.14,12.24,4693.00,-68.57,78.88,39.19,10.83,
2020-08-28 00:00:00 UTC,7.20,10.79,11.66,6133.00,-69.21,79.01,38.35,10.78,
2020-08-29 00:00:00 UTC,4.50,6.13,6.55,7573.00,-73.16,78.50,39.30,6.10,
2020-08-30 00:00:00 UTC,1.58,2.58,2.94,9013.00,-77.27,78.59,39.30,2.84,
2020-08-31 00:00:00 UTC,4.46,6.76,7.37,10453.99,-75.59,79.21,39.27,6.76,
2020-09-01 00:00:00 UTC,3.78,5.73,6.31,11893.00,-74.86,81.05,38.73,5.73,
2020-09-02 00:00:00 UTC,3.72,5.73,6.40,13333.92,-75.38,81.48,38.49,5.73,
2020-09-03 00:00:00 UTC,4.40,6.78,7.51,14773.00,-75.42,81.77,38.76,6.78,
2020-09-04 00:00:00 UTC,6.45,10.05,10.88,16213.00,-77.16,81.22,39.41,8.79,
2020-09-05 00:00:00 UTC,5.92,8.74,9.45,17653.00,-76.93,82.52,39.54,8.74,
2020-09-06 00:00:00 UTC,3.98,6.14,6.62,19093.00,-69.55,89.23,38.11,6.03,
2020-09-07 00:00:00 UTC,0.39,0.64,0.72,20533.00,-68.14,96.02,38.35,0.64,
2020-09-08 00:00:00 UTC,4.83,7.99,9.27,21973.00,-72.94,87.28,35.72,7.99,
2020-09-09 00:00:00 UTC,7.37,11.02,11.90,23413.00,-68.00,83.00,37.77,11.01,
2020-09-10 00:00:00 UTC,1.99,3.29,3.69,24853.00,-61.21,81.14,39.83,3.29,
2020-09-11 00:00:00 UTC,10.25,5.98,21.16,26293.00,-63.30,80.66,40.20,16.45,
2020-09-12 00:00:00 UTC,3.73,6.44,7.17,27733.00,-64.06,81.97,40.34,6.44,
2020-09-13 00:00:00 UTC,8.56,15.80,17.93,29175.76,-77.44,81.75,38.59,13.90,
2020-09-14 00:00:00 UTC,2.73,5.31,6.38,30613.00,-76.48,80.76,39.43,5.31,
2020-09-15 00:00:00 UTC,1.73,3.03,3.49,32053.00,-80.02,82.08,39.21,3.03,
2020-09-16 00:00:00 UTC,1.71,2.84,3.14,33493.00,-80.01,82.56,43.13,2.82,
2020-09-17 00:00:00 UTC,0.68,1.21,1.43,34932.65,-74.94,83.19,42.42,1.21,
2020-09-18 00:00:00 UTC,8.71,14.72,16.62,36373.00,-74.73,80.32,44.66,11.85,
2020-09-19 00:00:00 UTC,2.62,3.97,4.42,37813.00,-75.34,84.06,41.14,3.97,
2020-09-20 00:00:00 UTC,2.73,4.49,5.17,39253.00,-80.82,84.44,39.58,4.49,
2020-09-21 00:00:00 UTC,8.24,12.08,12.98,40693.00,-81.54,84.59,39.06,10.60,
2020-09-22 00:00:00 UTC,2.45,4.03,4.72,42133.00,-77.48,83.54,38.72,4.03,
2020-09-23 00:00:00 UTC,1.73,2.74,3.23,43572.68,-78.09,83.17,39.09,2.74,
2020-09-24 00:00:00 UTC,6.50,9.31,9.91,45013.00,-83.19,83.90,39.96,9.22,
2020-09-25 00:00:00 UTC,5.29,8.92,10.48,46451.37,-79.56,83.58,39.28,8.91,
2020-09-26 00:00:00 UTC,2.03,3.58,4.42,47891.31,-77.10,83.65,38.34,3.58,
2020-09-27 00:00:00 UTC,6.26,9.99,11.24,49333.00,-61.27,85.72,37.27,9.30,
2020-09-28 00:00:00 UTC,1.24,1.77,1.94,50773.00,-63.00,90.37,36.42,1.77,
2020-09-29 00:00:00 UTC,0.23,0.40,0.47,52213.00,-62.14,88.19,35.20,0.40,
2020-09-30 00:00:00 UTC,20.66,33.84,37.77,53653.00,-59.62,84.52,37.05,26.19
