created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-09-03 00:00:00 UTC,68.95,108.51,117.53,29.73,-44.14,82.73,20.96,74.85,
2020-09-04 00:00:00 UTC,,,,,,,,,
2020-09-05 00:00:00 UTC,4.02,6.12,6.12,1.00,-54.00,82.00,22.00,6.12,
2020-09-06 00:00:00 UTC,,,,,,,,,
2020-09-07 00:00:00 UTC,,,,,,,,,
2020-09-08 00:00:00 UTC,,,,,,,,,
2020-09-09 00:00:00 UTC,,,,,,,,,
2020-09-10 00:00:00 UTC,158.50,361.85,440.17,87.44,-52.89,73.37,48.53,240.48,
2020-09-11 00:00:00 UTC,136.63,304.59,371.66,926.00,-56.78,68.96,56.22,204.87,
2020-09-12 00:00:00 UTC,93.95,206.02,248.04,2366.00,-57.17,70.73,54.86,136.61,
2020-09-13 00:00:00 UTC,72.11,157.61,193.02,3806.00,-56.58,65.83,60.30,111.69,
2020-09-14 00:00:00 UTC,71.61,166.12,213.36,5246.00,-56.30,68.93,53.71,112.12,
2020-09-15 00:00:00 UTC,30.43,68.12,84.29,6686.00,-58.34,73.16,52.99,47.98,
2020-09-16 00:00:00 UTC,1.36,2.89,3.43,8126.00,-59.13,76.24,56.63,2.89,
2020-09-17 00:00:00 UTC,0.88,1.99,2.40,9566.00,-59.10,73.65,58.32,1.99,
2020-09-18 00:00:00 UTC,3.60,7.74,9.19,11006.00,-58.84,72.34,59.57,7.74,
2020-09-19 00:00:00 UTC,5.55,10.58,12.60,12446.00,-59.43,75.00,54.92,10.31,
2020-09-20 00:00:00 UTC,5.01,9.68,11.96,13886.00,-59.45,75.05,51.93,9.68,
2020-09-21 00:00:00 UTC,12.11,21.14,24.61,15326.00,-61.66,71.67,55.53,20.30,
2020-09-22 00:00:00 UTC,2.71,5.73,7.53,16766.00,-59.40,70.71,57.68,5.73,
2020-09-23 00:00:00 UTC,1.66,3.33,4.33,18206.68,-58.69,74.27,49.95,3.33,
2020-09-24 00:00:00 UTC,1.27,2.72,3.41,5618.52,-58.90,72.06,60.97,2.72,
2020-09-25 00:00:00 UTC,2.95,7.16,10.31,1764.00,-57.81,72.99,53.69,7.16,
2020-09-26 00:00:00 UTC,2.98,6.58,8.95,3204.00,-58.44,75.01,48.76,6.58,
2020-09-27 00:00:00 UTC,6.03,10.36,12.45,4644.00,-58.37,79.21,42.61,10.32,
2020-09-28 00:00:00 UTC,25.44,35.96,38.72,6084.00,-57.09,86.16,24.49,30.38,
2020-09-29 00:00:00 UTC,3.13,5.15,5.78,7519.50,-57.47,68.49,59.99,5.15,
2020-09-30 00:00:00 UTC,12.37,21.77,24.13,8973.77,-58.51,71.95,56.91,20.53
