created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-09-10 00:00:00 UTC,102.73,163.71,183.96,34.03,-31.65,75.84,17.00,108.80,
2020-09-11 00:00:00 UTC,,,,,,,,,
2020-09-12 00:00:00 UTC,,,,,,,,,
2020-09-13 00:00:00 UTC,,,,,,,,,
2020-09-14 00:00:00 UTC,56.94,83.31,89.68,25.09,-52.21,86.70,14.56,57.55,
2020-09-15 00:00:00 UTC,2.96,4.27,5.17,56.64,-55.55,89.36,13.64,4.27,
2020-09-16 00:00:00 UTC,,,,,,,,,
2020-09-17 00:00:00 UTC,2.62,5.78,7.36,71.61,-54.95,74.70,52.85,5.78,
2020-09-18 00:00:00 UTC,3.47,7.23,9.27,603.52,-55.47,70.06,63.69,7.23,
2020-09-19 00:00:00 UTC,5.50,10.62,14.26,1644.21,-54.57,69.87,63.17,10.24,
2020-09-20 00:00:00 UTC,4.90,9.23,12.91,240.62,-56.67,72.55,57.60,9.23,
2020-09-21 00:00:00 UTC,13.23,23.36,29.87,1254.00,-56.10,67.59,63.28,22.38,
2020-09-22 00:00:00 UTC,2.79,5.77,9.51,2694.00,-56.55,67.45,64.63,5.76,
2020-09-23 00:00:00 UTC,1.48,2.92,4.81,903.55,-56.34,69.54,57.42,2.92,
2020-09-24 00:00:00 UTC,1.05,2.35,3.78,1450.00,-55.86,69.61,67.16,2.35,
2020-09-25 00:00:00 UTC,2.76,6.97,14.11,2890.00,-54.83,67.42,63.35,6.97,
2020-09-26 00:00:00 UTC,2.70,6.21,11.80,4330.00,-55.41,68.32,60.38,6.21,
2020-09-27 00:00:00 UTC,5.63,9.88,14.63,5770.00,-56.90,73.75,50.01,9.65,
2020-09-28 00:00:00 UTC,25.81,37.21,41.84,7210.00,-56.40,79.17,33.47,30.58,
2020-09-29 00:00:00 UTC,3.05,4.92,6.12,8649.70,-55.93,65.45,68.27,4.88,
2020-09-30 00:00:00 UTC,12.65,22.73,26.15,10090.00,-55.12,67.77,65.43,21.30
