created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-07-15 00:00:00 UTC,1.24,2.51,3.04,60861.00,-28.79,87.55,31.57,2.51,
2020-07-16 00:00:00 UTC,0.84,1.71,1.97,62306.86,-27.91,86.20,33.14,1.71,
2020-07-17 00:00:00 UTC,1.05,2.06,2.41,63729.83,-27.43,86.27,33.49,2.06,
2020-07-18 00:00:00 UTC,0.73,1.39,1.64,65181.00,-28.07,86.30,34.28,1.39,
2020-07-19 00:00:00 UTC,0.61,1.18,1.35,66621.00,-29.54,86.44,34.09,1.18,
2020-07-20 00:00:00 UTC,6.85,10.49,11.10,68061.00,-27.75,84.96,34.99,7.66,
2020-07-21 00:00:00 UTC,0.45,0.76,0.86,69501.00,-27.57,84.17,35.68,0.76,
2020-07-22 00:00:00 UTC,0.19,0.44,0.56,67057.34,-27.55,84.76,35.64,0.44,
2020-07-23 00:00:00 UTC,6.21,8.77,9.13,798.01,-27.52,85.28,34.27,6.34,
2020-07-24 00:00:00 UTC,1.13,2.74,3.70,2238.00,-27.59,84.59,33.99,2.74,
2020-07-25 00:00:00 UTC,6.48,10.75,12.29,3678.00,-27.97,85.02,34.16,8.48,
2020-07-26 00:00:00 UTC,1.69,3.38,4.14,5118.00,-28.57,85.67,34.85,3.38,
2020-07-27 00:00:00 UTC,1.17,2.23,2.58,6558.00,-28.15,85.40,34.49,2.23,
2020-07-28 00:00:00 UTC,2.80,4.97,5.62,7998.00,-27.62,84.80,34.27,4.90,
2020-07-29 00:00:00 UTC,0.11,0.42,0.52,9438.00,-27.70,86.34,34.62,0.42,
2020-07-30 00:00:00 UTC,2.86,4.52,4.96,10878.00,-27.46,85.09,34.78,4.16,
2020-07-31 00:00:00 UTC,1.14,2.10,2.39,12318.00,-27.75,85.24,35.56,2.10,
2020-08-01 00:00:00 UTC,0.07,0.54,0.86,13758.26,-27.95,85.35,35.23,0.54,
2020-08-02 00:00:00 UTC,3.31,5.31,6.13,15198.00,-28.79,85.71,35.10,3.78,
2020-08-03 00:00:00 UTC,2.90,5.49,6.75,16638.00,-27.87,86.52,33.24,5.11,
2020-08-04 00:00:00 UTC,1.62,3.29,3.95,18077.00,-27.12,85.78,35.85,3.29,
2020-08-05 00:00:00 UTC,3.12,6.15,7.52,19516.00,-27.55,84.82,35.97,6.15,
2020-08-06 00:00:00 UTC,3.40,6.06,7.23,20956.00,-27.38,85.39,35.24,5.83,
2020-08-07 00:00:00 UTC,1.58,3.69,5.01,22396.00,-27.05,86.41,34.30,3.69,
