created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-08-10 00:00:00 UTC,56.45,83.52,86.37,36.42,-52.46,84.04,23.26,58.43,
2020-08-11 00:00:00 UTC,3.40,5.18,5.45,581.00,-54.92,82.84,24.27,4.89,
2020-08-12 00:00:00 UTC,,,,,,,,,
2020-08-13 00:00:00 UTC,,,,,,,,,
2020-08-14 00:00:00 UTC,,,,,,,,,
2020-08-15 00:00:00 UTC,,,,,,,,,
2020-08-16 00:00:00 UTC,,,,,,,,,
2020-08-17 00:00:00 UTC,59.23,88.95,92.00,60.71,-50.71,89.28,22.27,61.82,
2020-08-18 00:00:00 UTC,,,,,,,,,
2020-08-19 00:00:00 UTC,,,,,,,,,
2020-08-20 00:00:00 UTC,,,,,,,,,
2020-08-21 00:00:00 UTC,19.98,34.98,37.94,1.00,-50.00,80.50,29.00,32.64,
2020-08-22 00:00:00 UTC,,,,,,,,,
2020-08-23 00:00:00 UTC,,,,,,,,,
2020-08-24 00:00:00 UTC,,,,,,,,,
2020-08-25 00:00:00 UTC,,,,,,,,,
2020-08-26 00:00:00 UTC,1.89,3.91,4.32,566.98,-76.37,80.22,39.94,3.91,
2020-08-27 00:00:00 UTC,1.66,3.49,3.99,699.56,-76.43,77.03,40.50,3.48,
2020-08-28 00:00:00 UTC,5.09,9.29,10.39,2061.65,-77.42,77.72,40.42,9.27,
2020-08-29 00:00:00 UTC,1.35,3.33,3.95,858.87,-75.30,79.72,40.34,3.33,
2020-08-30 00:00:00 UTC,1.43,1.50,3.41,686.66,-47.00,82.00,38.00,3.00,
2020-08-31 00:00:00 UTC,1.61,3.45,3.88,866.00,-47.18,82.84,38.48,3.45,
2020-09-01 00:00:00 UTC,1.16,2.64,2.76,2306.00,-49.93,84.16,38.69,2.46,
2020-09-02 00:00:00 UTC,2.36,4.58,5.04,3746.00,-51.08,83.05,37.20,4.58,
2020-09-03 00:00:00 UTC,1.47,3.13,3.54,5186.00,-53.37,82.92,38.19,3.13,
2020-09-04 00:00:00 UTC,1.18,2.78,3.15,6626.00,-50.69,83.84,38.59,2.78,
2020-09-05 00:00:00 UTC,0.91,1.98,2.18,8066.00,-49.62,85.92,38.30,1.98,
2020-09-06 00:00:00 UTC,5.58,9.70,10.23,2532.48,-68.31,90.11,36.62,9.67,
2020-09-07 00:00:00 UTC,3.13,5.67,6.11,496.70,-61.24,88.43,37.46,5.67,
2020-09-08 00:00:00 UTC,1.00,2.00,2.24,1790.00,-56.58,82.28,38.31,2.00,
2020-09-09 00:00:00 UTC,0.72,1.67,1.86,3230.00,-57.51,82.56,37.90,1.67,
2020-09-10 00:00:00 UTC,2.37,5.10,5.63,4670.00,-56.45,81.53,37.42,5.10,
2020-09-11 00:00:00 UTC,1.62,4.25,4.80,6110.00,-56.88,82.07,37.56,4.25,
2020-09-12 00:00:00 UTC,2.71,6.58,7.38,7550.00,-57.19,83.75,38.37,6.58,
2020-09-13 00:00:00 UTC,3.44,7.95,8.89,6732.74,-59.97,85.02,38.05,7.95,
2020-09-14 00:00:00 UTC,2.14,5.81,6.80,627.45,-52.81,84.19,37.70,5.80,
2020-09-15 00:00:00 UTC,1.67,4.62,5.49,371.48,-62.72,84.45,38.24,4.61,
2020-09-16 00:00:00 UTC,0.69,2.22,2.88,1024.00,-73.98,84.70,39.36,2.21,
2020-09-17 00:00:00 UTC,0.56,1.68,2.01,2464.00,-67.83,84.61,41.87,1.68,
2020-09-18 00:00:00 UTC,1.25,3.35,4.08,3904.00,-67.58,83.79,41.19,3.35,
2020-09-19 00:00:00 UTC,2.19,4.92,5.73,5344.00,-70.42,83.63,40.81,4.92,
2020-09-20 00:00:00 UTC,2.04,4.36,4.96,6784.00,-70.99,83.20,39.19,4.36,
2020-09-21 00:00:00 UTC,2.70,5.52,6.32,8224.89,-70.51,84.87,39.33,5.52,
2020-09-22 00:00:00 UTC,1.90,4.11,4.71,9664.00,-69.46,81.86,39.77,4.11,
2020-09-23 00:00:00 UTC,0.71,1.91,2.32,11104.00,-70.17,80.78,39.37,1.91,
2020-09-24 00:00:00 UTC,0.78,2.20,2.83,12544.00,-69.07,82.14,42.03,2.20,
2020-09-25 00:00:00 UTC,1.21,3.44,4.25,13984.00,-69.13,81.23,40.12,3.44,
2020-09-26 00:00:00 UTC,0.86,2.55,3.21,15424.00,-69.59,81.69,39.43,2.55,
2020-09-27 00:00:00 UTC,1.66,4.43,5.61,16863.00,-70.57,84.84,38.22,4.30,
2020-09-28 00:00:00 UTC,8.01,11.76,12.35,3667.07,-69.22,85.11,35.14,11.68,
2020-09-29 00:00:00 UTC,1.04,1.96,2.13,1894.00,-70.20,82.19,37.80,1.96,
2020-09-30 00:00:00 UTC,1.51,3.32,3.84,3334.00,-71.54,81.97,39.89,3.32
