created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-08-12 00:00:00 UTC,,,,,,,,,
2020-08-13 00:00:00 UTC,,,,,,,,,
2020-08-14 00:00:00 UTC,,,,,,,,,
2020-08-15 00:00:00 UTC,,,,,,,,,
2020-08-16 00:00:00 UTC,,,,,,,,,
2020-08-17 00:00:00 UTC,0.98,2.15,2.73,218.04,-63.39,85.99,38.24,2.15,
2020-08-18 00:00:00 UTC,2.65,4.79,5.62,1155.84,-63.77,84.58,39.11,4.79,
2020-08-19 00:00:00 UTC,12.37,18.16,19.46,2598.00,-66.10,86.43,34.84,16.70,
2020-08-20 00:00:00 UTC,9.37,12.86,13.53,2765.13,-65.01,86.52,35.56,12.77,
2020-08-21 00:00:00 UTC,8.78,12.58,13.29,1142.00,-67.28,86.64,39.50,12.58,
2020-08-22 00:00:00 UTC,11.16,16.34,16.39,2582.00,-64.22,86.98,39.32,15.22,
2020-08-23 00:00:00 UTC,5.60,11.06,12.56,4022.00,-62.20,85.77,39.29,10.11,
2020-08-24 00:00:00 UTC,3.78,6.53,7.11,1602.08,-65.30,86.34,37.78,6.53,
2020-08-25 00:00:00 UTC,2.58,4.52,5.02,1812.00,-63.65,84.63,40.57,4.52,
2020-08-26 00:00:00 UTC,1.18,2.16,2.42,3252.08,-62.52,85.14,38.83,2.16,
2020-08-27 00:00:00 UTC,1.45,2.68,3.10,4693.00,-65.07,82.61,39.29,2.68,
2020-08-28 00:00:00 UTC,13.24,21.18,22.89,6133.00,-63.29,82.65,39.07,19.11,
2020-08-29 00:00:00 UTC,5.44,8.92,9.70,7573.00,-62.00,81.46,40.46,8.92,
2020-08-30 00:00:00 UTC,4.29,7.10,7.81,9013.00,-65.83,81.62,40.98,7.10,
2020-08-31 00:00:00 UTC,10.03,17.16,18.85,10453.00,-64.40,82.48,41.24,16.93,
2020-09-01 00:00:00 UTC,7.43,12.17,13.24,11893.00,-63.04,83.11,40.57,12.03,
2020-09-02 00:00:00 UTC,3.28,5.48,6.04,13333.00,-63.81,83.31,40.46,5.48,
2020-09-03 00:00:00 UTC,4.54,7.83,8.69,14773.00,-63.51,83.52,40.50,7.83,
2020-09-04 00:00:00 UTC,6.75,12.05,13.31,16213.00,-63.81,81.95,41.89,12.04,
2020-09-05 00:00:00 UTC,10.22,16.58,18.11,17653.00,-63.66,82.42,41.08,16.20,
2020-09-06 00:00:00 UTC,28.33,45.77,49.13,19093.00,-68.59,86.25,37.18,36.64,
2020-09-07 00:00:00 UTC,9.77,15.70,16.88,20533.00,-69.37,89.50,33.33,15.66,
2020-09-08 00:00:00 UTC,2.02,3.75,4.26,21973.00,-67.75,89.17,33.89,3.75,
2020-09-09 00:00:00 UTC,5.67,8.99,9.63,23413.00,-65.77,87.13,36.09,8.99,
2020-09-10 00:00:00 UTC,21.12,40.43,45.10,24853.00,-67.47,85.84,39.52,33.99,
2020-09-11 00:00:00 UTC,28.02,61.11,70.60,26293.00,-66.71,84.72,39.18,45.51,
2020-09-12 00:00:00 UTC,21.40,47.26,54.53,27733.00,-65.12,83.58,40.04,37.60,
2020-09-13 00:00:00 UTC,16.48,36.17,41.71,29173.00,-63.68,83.18,40.21,32.58,
2020-09-14 00:00:00 UTC,19.70,46.56,56.47,30613.00,-65.46,83.78,38.46,36.93,
2020-09-15 00:00:00 UTC,2.50,6.32,7.47,32053.00,-66.31,85.89,38.84,6.32,
2020-09-16 00:00:00 UTC,0.19,0.39,0.46,33493.00,-65.81,85.80,42.68,0.39,
2020-09-17 00:00:00 UTC,0.19,0.47,0.56,34933.00,-65.48,85.12,45.05,0.47,
2020-09-18 00:00:00 UTC,1.66,3.60,4.17,36373.00,-65.37,84.45,44.40,3.60,
2020-09-19 00:00:00 UTC,4.06,7.54,8.55,37813.00,-63.18,83.32,43.80,7.54,
2020-09-20 00:00:00 UTC,5.07,9.11,10.37,39253.00,-63.26,81.81,43.62,9.11,
2020-09-21 00:00:00 UTC,9.97,16.61,18.15,40693.00,-62.94,83.11,41.42,15.85,
2020-09-22 00:00:00 UTC,0.97,2.21,2.69,42133.00,-64.46,84.26,40.65,2.21,
2020-09-23 00:00:00 UTC,0.62,1.23,1.50,43573.00,-62.99,83.98,39.06,1.23,
2020-09-24 00:00:00 UTC,0.49,1.08,1.31,45013.00,-61.85,82.22,46.67,1.08,
2020-09-25 00:00:00 UTC,1.49,3.84,4.94,46453.50,-62.30,80.31,43.72,3.84,
2020-09-26 00:00:00 UTC,2.51,4.97,5.95,47893.00,-64.24,81.75,41.09,4.97,
2020-09-27 00:00:00 UTC,3.79,6.42,7.33,49333.00,-62.84,84.21,37.80,6.42,
2020-09-28 00:00:00 UTC,20.86,29.13,30.55,50773.00,-65.29,88.10,27.88,25.62,
2020-09-29 00:00:00 UTC,0.99,1.68,1.86,52213.00,-64.68,83.54,39.68,1.68,
2020-09-30 00:00:00 UTC,5.68,9.52,10.31,53653.00,-64.63,83.52,41.48,9.29
