created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-07-15 00:00:00 UTC,3.51,5.43,6.51,1459.00,-46.70,82.84,35.54,5.24,
2020-07-16 00:00:00 UTC,5.25,9.29,11.58,2899.00,-51.23,81.15,37.68,7.21,
2020-07-17 00:00:00 UTC,1.82,3.20,4.06,4328.06,-51.63,82.33,37.60,3.20,
2020-07-18 00:00:00 UTC,1.16,2.04,2.52,5779.00,-51.44,82.36,37.23,2.04,
2020-07-19 00:00:00 UTC,1.40,2.44,3.04,7219.00,-51.74,81.41,37.79,2.44,
2020-07-20 00:00:00 UTC,0.57,1.29,1.76,8659.00,-51.09,81.05,38.27,1.29,
2020-07-21 00:00:00 UTC,0.93,1.80,2.44,10099.00,-48.87,81.47,38.77,1.80,
2020-07-22 00:00:00 UTC,0.63,1.26,1.81,11539.00,-49.85,81.29,38.60,1.26,
2020-07-23 00:00:00 UTC,3.15,4.52,5.12,12317.00,-51.91,85.05,35.21,4.52,
2020-07-24 00:00:00 UTC,,,,,,,,,
2020-07-25 00:00:00 UTC,,,,,,,,,
2020-07-26 00:00:00 UTC,,,,,,,,,
2020-07-27 00:00:00 UTC,,,,,,,,,
2020-07-28 00:00:00 UTC,,,,,,,,,
2020-07-29 00:00:00 UTC,,,,,,,,,
2020-07-30 00:00:00 UTC,,,,,,,,,
2020-07-31 00:00:00 UTC,,,,,,,,,
2020-08-01 00:00:00 UTC,,,,,,,,,
2020-08-02 00:00:00 UTC,,,,,,,,,
2020-08-03 00:00:00 UTC,,,,,,,,,
2020-08-04 00:00:00 UTC,,,,,,,,,
2020-08-05 00:00:00 UTC,,,,,,,,,
2020-08-06 00:00:00 UTC,,,,,,,,,
2020-08-07 00:00:00 UTC,,,,,,,,,
2020-08-08 00:00:00 UTC,,,,,,,,,
2020-08-09 00:00:00 UTC,3.15,5.46,6.97,446.33,-59.42,83.20,40.90,5.46,
2020-08-10 00:00:00 UTC,3.06,5.31,6.61,977.27,-60.57,84.17,38.94,5.31,
2020-08-11 00:00:00 UTC,10.17,15.81,18.66,2417.00,-60.28,83.69,39.76,12.04,
2020-08-12 00:00:00 UTC,2.07,3.68,4.72,3857.00,-60.58,83.71,39.77,3.68,
2020-08-13 00:00:00 UTC,4.62,8.43,11.61,5297.00,-60.21,83.81,37.70,8.41,
2020-08-14 00:00:00 UTC,4.99,9.19,12.77,6731.14,-60.00,87.80,32.94,9.14,
2020-08-15 00:00:00 UTC,4.90,8.83,11.68,8177.00,-57.81,91.05,28.40,8.83,
2020-08-16 00:00:00 UTC,8.42,14.24,17.90,9504.33,-57.88,90.52,33.50,14.24,
2020-08-17 00:00:00 UTC,2.02,3.97,5.75,737.55,-59.65,86.89,36.29,3.96,
2020-08-18 00:00:00 UTC,3.37,6.50,9.44,2175.39,-60.74,85.83,36.53,6.30,
2020-08-19 00:00:00 UTC,11.80,18.26,21.87,3617.00,-61.59,86.32,34.03,16.74,
2020-08-20 00:00:00 UTC,7.97,11.57,13.17,5057.00,-60.00,86.13,34.87,11.45,
2020-08-21 00:00:00 UTC,8.72,13.02,14.78,6497.00,-61.13,85.89,39.24,12.81,
2020-08-22 00:00:00 UTC,7.93,11.88,13.35,7937.00,-65.87,87.75,38.24,11.86,
2020-08-23 00:00:00 UTC,7.13,12.65,15.79,9377.00,-67.57,86.70,37.41,11.41,
2020-08-24 00:00:00 UTC,4.18,6.89,8.00,2896.97,-66.37,85.83,37.64,6.90,
2020-08-25 00:00:00 UTC,5.20,8.75,10.64,1813.00,-67.03,84.92,39.22,8.39,
2020-08-26 00:00:00 UTC,2.83,4.70,5.59,3253.00,-67.80,84.90,38.30,4.17,
2020-08-27 00:00:00 UTC,1.67,3.31,4.47,4693.00,-65.33,82.99,38.01,3.31,
2020-08-28 00:00:00 UTC,14.65,23.16,26.98,6133.00,-64.76,81.97,38.95,20.45,
2020-08-29 00:00:00 UTC,4.99,8.24,9.79,7573.00,-66.66,81.59,39.66,8.24,
2020-08-30 00:00:00 UTC,3.10,5.40,6.77,9013.00,-66.96,81.59,40.49,5.40,
2020-08-31 00:00:00 UTC,11.80,19.65,23.36,10453.00,-67.10,82.03,41.09,18.16,
2020-09-01 00:00:00 UTC,8.04,13.12,15.52,11893.00,-68.68,82.85,40.26,12.94,
2020-09-02 00:00:00 UTC,3.79,6.35,7.77,13333.00,-70.21,83.37,40.07,5.63,
2020-09-03 00:00:00 UTC,4.38,7.66,9.53,14773.00,-68.11,82.13,40.81,7.66,
2020-09-04 00:00:00 UTC,6.17,10.61,12.79,16213.00,-67.18,82.34,40.73,10.44,
2020-09-05 00:00:00 UTC,7.04,11.47,13.76,17653.00,-68.16,83.59,38.91,11.44,
2020-09-06 00:00:00 UTC,20.26,31.90,36.22,19093.00,-68.96,86.77,33.05,28.59,
2020-09-07 00:00:00 UTC,11.20,18.10,21.07,20533.00,-69.84,89.13,30.70,17.37,
2020-09-08 00:00:00 UTC,5.57,9.81,12.16,21973.00,-69.37,87.14,33.33,8.61,
2020-09-09 00:00:00 UTC,6.82,10.84,12.70,23413.00,-70.32,84.71,37.00,10.84,
2020-09-10 00:00:00 UTC,31.80,54.73,65.10,24853.00,-71.00,82.94,40.80,41.89,
2020-09-11 00:00:00 UTC,37.86,68.02,82.19,26293.00,-69.77,81.61,42.13,48.59,
2020-09-12 00:00:00 UTC,23.77,43.31,52.36,27733.00,-69.19,83.98,39.47,37.32,
2020-09-13 00:00:00 UTC,18.07,33.24,40.73,29173.00,-69.75,82.96,39.39,30.46,
2020-09-14 00:00:00 UTC,18.82,37.07,49.03,30613.00,-70.59,82.49,39.12,33.06,
2020-09-15 00:00:00 UTC,4.66,9.42,12.43,32053.00,-70.90,83.90,39.97,9.42,
2020-09-16 00:00:00 UTC,0.17,0.43,0.69,33493.00,-69.65,85.88,41.90,0.43,
2020-09-17 00:00:00 UTC,0.32,0.77,1.11,34933.00,-70.40,86.71,41.89,0.77,
2020-09-18 00:00:00 UTC,1.58,3.20,4.20,36373.00,-68.81,86.55,41.00,3.20,
2020-09-19 00:00:00 UTC,5.71,10.27,13.05,37813.00,-69.00,86.20,39.81,9.86,
2020-09-20 00:00:00 UTC,6.94,12.52,16.36,39253.00,-70.25,86.12,38.04,11.96,
2020-09-21 00:00:00 UTC,8.72,14.76,17.83,40693.00,-70.15,85.60,37.75,13.12,
2020-09-22 00:00:00 UTC,0.62,1.66,2.65,42133.00,-70.31,85.80,38.29,1.66,
2020-09-23 00:00:00 UTC,0.41,1.17,1.94,43573.00,-69.82,85.62,36.75,1.17,
2020-09-24 00:00:00 UTC,0.35,0.99,1.53,45013.00,-70.49,85.69,40.95,0.99,
2020-09-25 00:00:00 UTC,3.43,7.53,11.56,46453.50,-70.45,84.79,37.42,7.21,
2020-09-26 00:00:00 UTC,1.77,3.94,6.03,47893.00,-69.31,84.77,36.98,3.91,
2020-09-27 00:00:00 UTC,3.18,6.05,8.00,49333.00,-69.70,87.60,34.53,5.68,
2020-09-28 00:00:00 UTC,13.28,20.13,23.08,50773.00,-70.22,86.71,29.30,18.34,
2020-09-29 00:00:00 UTC,0.61,1.24,1.60,52212.32,-68.95,84.33,36.82,1.20,
2020-09-30 00:00:00 UTC,4.25,7.10,8.32,53653.00,-70.88,83.23,40.73,7.01
