created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-09-18 00:00:00 UTC,93.08,149.99,166.13,25.13,-45.48,80.94,18.15,102.42,
2020-09-19 00:00:00 UTC,,,,,,,,,
2020-09-20 00:00:00 UTC,,,,,,,,,
2020-09-21 00:00:00 UTC,17.60,31.31,38.31,2.00,-53.50,75.50,28.00,30.84,
2020-09-22 00:00:00 UTC,,,,,,,,,
2020-09-23 00:00:00 UTC,,,,,,,,,
2020-09-24 00:00:00 UTC,,,,,,,,,
2020-09-25 00:00:00 UTC,2.54,5.15,6.40,673.56,-45.17,78.16,43.84,5.10,
2020-09-26 00:00:00 UTC,2.35,4.82,6.01,2092.00,-45.34,77.67,43.18,4.78,
2020-09-27 00:00:00 UTC,4.79,7.98,9.06,3532.00,-47.41,78.51,43.08,7.81,
2020-09-28 00:00:00 UTC,9.98,14.47,15.46,770.80,-47.97,81.40,42.88,14.43,
2020-09-29 00:00:00 UTC,2.27,3.51,3.80,877.96,-47.37,80.39,40.73,3.51,
2020-09-30 00:00:00 UTC,2.33,3.91,4.36,1627.27,-47.32,78.14,42.91,3.91
