created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-09-10 00:00:00 UTC,50.93,81.84,86.42,14.47,-46.24,72.41,17.44,55.51,
2020-09-11 00:00:00 UTC,69.97,121.07,128.51,42.09,-52.36,86.86,13.05,83.60,
2020-09-12 00:00:00 UTC,,,,,,,,,
2020-09-13 00:00:00 UTC,,,,,,,,,
2020-09-14 00:00:00 UTC,2.87,5.19,5.89,83.00,-42.87,88.44,10.77,5.19,
2020-09-15 00:00:00 UTC,,,,,,,,,
2020-09-16 00:00:00 UTC,,,,,,,,,
2020-09-17 00:00:00 UTC,2.75,6.13,7.20,64.00,-53.84,83.15,38.97,6.13,
2020-09-18 00:00:00 UTC,2.11,4.61,5.60,632.69,-55.56,83.99,38.41,4.38,
2020-09-19 00:00:00 UTC,1.95,4.42,5.48,2055.00,-53.26,83.35,39.37,4.42,
2020-09-20 00:00:00 UTC,3.01,7.14,9.21,3495.00,-53.45,79.06,42.12,7.09,
2020-09-21 00:00:00 UTC,4.77,8.63,9.85,4935.00,-53.67,81.98,39.81,8.59,
2020-09-22 00:00:00 UTC,1.54,3.88,5.10,6375.00,-53.43,83.69,36.52,3.88,
2020-09-23 00:00:00 UTC,0.94,2.75,3.88,7815.00,-52.51,82.26,36.42,2.75,
2020-09-24 00:00:00 UTC,3.10,6.35,7.74,9255.00,-52.00,82.67,40.58,6.01,
2020-09-25 00:00:00 UTC,4.20,10.71,14.29,10695.00,-55.27,81.45,38.75,10.68,
2020-09-26 00:00:00 UTC,2.61,6.73,8.95,12135.00,-60.31,82.26,37.82,6.73,
2020-09-27 00:00:00 UTC,8.32,17.26,21.33,13575.00,-59.90,82.79,36.79,15.27,
2020-09-28 00:00:00 UTC,9.32,17.54,20.64,15015.00,-59.61,86.39,33.93,15.09,
2020-09-29 00:00:00 UTC,2.03,4.03,4.87,16455.00,-63.13,84.27,35.73,4.00,
2020-09-30 00:00:00 UTC,6.02,11.01,12.40,17895.00,-61.66,84.20,36.69,10.70
