created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-09-10 00:00:00 UTC,90.75,130.60,137.92,27.42,-51.50,75.85,18.08,87.23,
2020-09-11 00:00:00 UTC,,,,,,,,,
2020-09-12 00:00:00 UTC,,,,,,,,,
2020-09-13 00:00:00 UTC,,,,,,,,,
2020-09-14 00:00:00 UTC,,,,,,,,,
2020-09-15 00:00:00 UTC,23.60,32.94,35.69,26.00,-52.54,80.65,16.35,26.82,
2020-09-16 00:00:00 UTC,,,,,,,,,
2020-09-17 00:00:00 UTC,,,,,,,,,
2020-09-18 00:00:00 UTC,,,,,,,,,
2020-09-19 00:00:00 UTC,3.27,7.14,9.27,117.00,-65.72,72.28,57.50,7.14,
2020-09-20 00:00:00 UTC,7.15,15.98,21.25,952.00,-66.85,67.76,64.46,13.99,
2020-09-21 00:00:00 UTC,12.05,21.93,26.60,2392.00,-65.26,67.30,64.38,21.32,
2020-09-22 00:00:00 UTC,3.33,7.70,10.77,3832.00,-64.81,66.70,67.57,7.68,
2020-09-23 00:00:00 UTC,2.68,5.98,8.41,5272.00,-64.94,66.23,64.43,5.98,
2020-09-24 00:00:00 UTC,4.31,9.59,12.70,6712.00,-66.52,68.13,71.07,9.35,
2020-09-25 00:00:00 UTC,8.53,20.14,28.28,8152.00,-64.78,64.99,71.22,19.88,
2020-09-26 00:00:00 UTC,5.85,13.94,19.66,9592.00,-66.22,65.71,67.65,13.74,
2020-09-27 00:00:00 UTC,13.35,28.26,38.13,11032.00,-65.65,67.49,61.87,25.10,
2020-09-28 00:00:00 UTC,39.96,76.29,97.62,12472.00,-65.68,69.91,56.92,56.61,
2020-09-29 00:00:00 UTC,4.27,8.33,10.60,13912.00,-66.64,64.88,71.54,8.32,
2020-09-30 00:00:00 UTC,12.97,24.44,29.25,15352.00,-64.87,65.72,70.05,23.33
